Document,PLAN_ID,EFFECTIVE_DATE
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ434661,1/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI9434662,1/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ434973,2/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI9434974,2/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ435255,3/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI9435256,3/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ435567,4/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI9435568,4/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ435869,5/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI94358610,5/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ4361711,6/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI94361712,6/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ4364713,7/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI94364714,7/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ4367815,8/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI94367816,8/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ4370917,9/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI94370918,9/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ4373919,10/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI94373920,10/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ4377021,11/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI94377022,11/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,LDXEEQ4380023,12/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1CVBI94380024,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4346625,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4346626,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4349727,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4349728,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4352529,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4352530,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4355631,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4355632,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4358633,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4358634,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4361735,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4361736,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4364737,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4364738,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4367839,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4367840,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4370941,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4370942,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4373943,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4373944,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4377045,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4377046,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,AAFZGA4380047,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,SSLP1Z4380048,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74346649,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4346650,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74349751,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4349752,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74352553,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4352554,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74355655,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4355656,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74358657,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4358658,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74361759,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4361760,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74364761,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4364762,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74367863,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4367864,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74370965,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4370966,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74373967,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4373968,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74377069,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4377070,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,051MD74380071,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,OSTN2I4380072,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4346673,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4346674,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4349775,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4349776,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4352577,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4352578,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4355679,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4355680,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4358681,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4358682,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4361783,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4361784,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4364785,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4364786,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4367887,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4367888,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4370989,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4370990,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4373991,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4373992,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4377093,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4377094,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,6GYPVN4380095,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,VDB59H4380096,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR4346697,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q4346698,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR4349799,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43497100,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43525101,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43525102,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43556103,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43556104,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43586105,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43586106,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43617107,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43617108,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43647109,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43647110,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43678111,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43678112,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43709113,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43709114,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43739115,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43739116,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43770117,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43770118,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,J1E5TR43800119,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,CSI42Q43800120,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43466121,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43466122,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43497123,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43497124,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43525125,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43525126,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43556127,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43556128,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43586129,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43586130,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43617131,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43617132,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43647133,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43647134,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43678135,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43678136,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43709137,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43709138,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43739139,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43739140,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43770141,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43770142,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,B69RDP43800143,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,28K1RR43800144,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43466145,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943466146,1/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43497147,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943497148,2/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43525149,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943525150,3/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43556151,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943556152,4/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43586153,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943586154,5/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43617155,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943617156,6/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43647157,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943647158,7/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43678159,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943678160,8/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43709161,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943709162,9/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43739163,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943739164,10/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43770165,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943770166,11/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,5NFLMG43800167,12/1/2019
M00504R03_2019 Small Group Dental Sheet - Freedom_508,KC0GZ943800168,12/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43466169,1/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43466170,1/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43497171,2/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43497172,2/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43525173,3/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43525174,3/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43556175,4/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43556176,4/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43586177,5/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43586178,5/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43617179,6/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43617180,6/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43647181,7/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43647182,7/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43678183,8/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43678184,8/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43709185,9/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43709186,9/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43739187,10/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43739188,10/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43770189,11/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43770190,11/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H0Z97A43800191,12/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,BX4SJG43800192,12/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43466193,1/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43466194,1/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43497195,2/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43497196,2/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43525197,3/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43525198,3/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43556199,4/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43556200,4/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43586201,5/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43586202,5/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43617203,6/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43617204,6/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43647205,7/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43647206,7/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43678207,8/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43678208,8/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43709209,9/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43709210,9/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43739211,10/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43739212,10/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43770213,11/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43770214,11/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,6BHVPN43800215,12/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,UJ8CDX43800216,12/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1EHMRE43466217,1/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,H2E8WB43466218,1/1/2019
M00503R03_2019 Small Group Dental Sheet - Preferred_508,1EHMRE43497219,2/1/2019
