REGION,Area,PLAN_TYPE,PARTICIPATION_MINIMUM,PARTICIPATION_MAXIMUM,MINIMUM_ENROLLED,PLAN_ID,TIERS,PRODUCT_ID,PRODUCT_NAME,INDIVIDUAL,TWO_PERSON,IND_PLUS_1_CHILD,IND_PLUS_CHILDREN,FAMILY,DOCUMENT_URL,EFFECTIVE_DATE,END_DATE,MAXIMUM_ENROLLED,VERSION,UNIQUE_IDENTIFIER,ORTHO,GrandfatherExpirationDate
MN,NON METRO,Preferred,20,69,10,LDXEEQ434661,THREE,2129625136,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,43.3,89.8,89.8,153.8,153.8,,1/1/2019,1/31/2019,50,0,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI9434662,THREE,2129625136,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,37.7,78.1,78.1,133.7,133.7,,1/1/2019,1/31/2019,50,0,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ434973,THREE,2129625141,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,43.3,89.8,89.8,153.8,153.8,,2/1/2019,2/28/2019,50,0,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI9434974,THREE,2129625141,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,37.7,78.1,78.1,133.7,133.7,,2/1/2019,2/28/2019,50,0,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ435255,THREE,2129625142,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,43.3,89.8,89.8,153.8,153.8,,3/1/2019,3/31/2019,50,0,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI9435256,THREE,2129625142,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,37.7,78.1,78.1,133.7,133.7,,3/1/2019,3/31/2019,50,0,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ435567,THREE,2129625143,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,48.7,100.8,100.8,171.3,171.3,,4/1/2019,4/30/2019,50,0,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI9435568,THREE,2129625143,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,42.4,87.7,87.7,149,149,,4/1/2019,4/30/2019,50,0,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ435869,THREE,2129625144,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,48.7,100.8,100.8,171.3,171.3,,5/1/2019,5/31/2019,50,0,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI94358610,THREE,2129625144,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,42.4,87.7,87.7,149,149,,5/1/2019,5/31/2019,50,0,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ4361711,THREE,2129625145,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,48.7,100.8,100.8,171.3,171.3,,6/1/2019,6/30/2019,50,0,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI94361712,THREE,2129625145,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,42.4,87.7,87.7,149,149,,6/1/2019,6/30/2019,50,0,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ4364713,Three,2129625146,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,48.7,100.8,100.8,171.3,171.3,M00503R03,7/1/2019,7/31/2019,50,,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI94364714,Three,2129625146,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,42.4,87.7,87.7,149,149,M00503R03,7/1/2019,7/31/2019,50,,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ4367815,Three,2129625147,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,48.7,100.8,100.8,171.3,171.3,M00503R03,8/1/2019,8/31/2019,50,,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI94367816,Three,2129625147,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,42.4,87.7,87.7,149,149,M00503R03,8/1/2019,8/31/2019,50,,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ4370917,Three,2129625148,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,48.7,100.8,100.8,171.3,171.3,M00503R03,9/1/2019,9/30/2019,50,,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI94370918,Three,2129625148,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,42.4,87.7,87.7,149,149,M00503R03,9/1/2019,9/30/2019,50,,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ4373919,Three,2129625149,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,48.7,100.8,100.8,171.3,171.3,M00503R03,10/1/2019,10/31/2019,50,,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI94373920,Three,2129625149,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,42.4,87.7,87.7,149,149,M00503R03,10/1/2019,10/31/2019,50,,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ4377021,Three,2129625150,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,48.7,100.8,100.8,171.3,171.3,M00503R03,11/1/2019,11/30/2019,50,,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI94377022,Three,2129625150,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,42.4,87.7,87.7,149,149,M00503R03,11/1/2019,11/30/2019,50,,,1000,
MN,NON METRO,Preferred,20,69,10,LDXEEQ4380023,Three,2129625151,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,48.7,100.8,100.8,171.3,171.3,M00503R03,12/1/2019,12/31/2019,50,,,1000,
MN,NON METRO,Preferred,70,100,10,1CVBI94380024,Three,2129625151,Preferred w/Ortho $1000 $50/150 Ded $1500 Max 3-Tier Non Metro,42.4,87.7,87.7,149,149,M00503R03,12/1/2019,12/31/2019,50,,,1000,
