Plan ID*,Rating Area ID*,Tobacco*,Age*,Standard Rate*,Tobacco Rate*
49316MN1070001,Rating Area 1,No Preference,0-14,333.31,
49316MN1070001,Rating Area 1,No Preference,15,333.31,
49316MN1070001,Rating Area 1,No Preference,16,333.31,
49316MN1070001,Rating Area 1,No Preference,17,333.31,
49316MN1070001,Rating Area 1,No Preference,18,333.31,
49316MN1070001,Rating Area 1,No Preference,19,333.31,
49316MN1070001,Rating Area 1,No Preference,20,333.31,
49316MN1070001,Rating Area 1,No Preference,21,374.51,
49316MN1070001,Rating Area 1,No Preference,22,374.51,
49316MN1070001,Rating Area 1,No Preference,23,374.51,
49316MN1070001,Rating Area 1,No Preference,24,374.51,
49316MN1070001,Rating Area 1,No Preference,25,376.01,
49316MN1070001,Rating Area 1,No Preference,26,383.5,
49316MN1070001,Rating Area 1,No Preference,27,392.48,
49316MN1070001,Rating Area 1,No Preference,28,407.09,
49316MN1070001,Rating Area 1,No Preference,29,419.07,
49316MN1070001,Rating Area 1,No Preference,30,425.07,
49316MN1070001,Rating Area 1,No Preference,31,434.06,
49316MN1070001,Rating Area 1,No Preference,32,443.04,
49316MN1070001,Rating Area 1,No Preference,33,448.66,
49316MN1070001,Rating Area 1,No Preference,34,454.65,
49316MN1070001,Rating Area 1,No Preference,35,457.65,
49316MN1070001,Rating Area 1,No Preference,36,460.65,
49316MN1070001,Rating Area 1,No Preference,37,463.64,
49316MN1070001,Rating Area 1,No Preference,38,466.64,
49316MN1070001,Rating Area 1,No Preference,39,472.63,
49316MN1070001,Rating Area 1,No Preference,40,478.62,
49316MN1070001,Rating Area 1,No Preference,41,487.61,
49316MN1070001,Rating Area 1,No Preference,42,496.22,
49316MN1070001,Rating Area 1,No Preference,43,508.21,
49316MN1070001,Rating Area 1,No Preference,44,523.19,
49316MN1070001,Rating Area 1,No Preference,45,540.79,
49316MN1070001,Rating Area 1,No Preference,46,561.76,
49316MN1070001,Rating Area 1,No Preference,47,585.36,
49316MN1070001,Rating Area 1,No Preference,48,612.32,
49316MN1070001,Rating Area 1,No Preference,49,638.91,
