HIOS Plan ID,Plan Marketing Name*,HIOS Product ID*,Network ID*,Service Area ID*,Formulary ID*,Plan Type*,Level of Coverage*,Plan Effective Date*,Plan Expiration Date
49316MN1070001,BlueAccess HSA Bronze $6550 Plan 624 (ABEZ),49316MN107,MNN001,MNS001,MNF001,PPO,Bronze,1/1/17,12/31/17
49316MN1070002,BlueAccess HSA Bronze $5000 Plan 622 (ABF1),49316MN107,MNN001,MNS001,MNF002,PPO,Bronze,1/1/17,12/31/17
49316MN1070003,BlueAccess HSA Bronze $4500 Plan 620 (ABF2),49316MN107,MNN001,MNS001,MNF009,PPO,Bronze,1/1/17,12/31/17
49316MN1070004,BlueAccess Silver $2000 Plan 623 (ABF3),49316MN107,MNN001,MNS001,MNF005,PPO,Silver,1/1/17,12/31/17
49316MN1070005,BlueAccess Silver $1800 Plan 625 (ABF4),49316MN107,MNN001,MNS001,MNF005,PPO,Silver,1/1/17,12/31/17
49316MN1070006,BlueAccess HRA Silver $2000 Plan 627 (ABF5),49316MN107,MNN001,MNS001,MNF005,PPO,Silver,1/1/17,12/31/17
49316MN1070007,BlueAccess HSA Gold $1500 Plan 629 (ABF6),49316MN107,MNN001,MNS001,MNF022,PPO,Gold,1/1/17,12/31/17
49316MN1070010,BlueAccess Gold $500 Plan 635 (ABF7),49316MN107,MNN001,MNS001,MNF005,PPO,Gold,1/1/17,12/31/17
49316MN1070011,BlueAccess Gold $1000 Plan 637 (ABF8),49316MN107,MNN001,MNS001,MNF005,PPO,Gold,1/1/17,12/31/17
49316MN1070013,BlueAccess Gold $750 Plan 641 (ABF9),49316MN107,MNN001,MNS001,MNF005,PPO,Gold,1/1/17,12/31/17
49316MN1070014,BlueAccess Gold $300 Plan 643 (ABFA),49316MN107,MNN001,MNS001,MNF005,PPO,Gold,1/1/17,12/31/17
49316MN1070015,BlueAccess HRA Gold $1000 Plan 647 (ABFB),49316MN107,MNN001,MNS001,MNF005,PPO,Gold,1/1/17,12/31/17
49316MN1070018,BlueAccess HSA Gold $2000 Plan 653 (ABFC),49316MN107,MNN001,MNS001,MNF001,PPO,Gold,1/1/17,12/31/17
49316MN1070019,BlueAccess Platinum No Deductible Plan 655 (ABFD),49316MN107,MNN001,MNS001,MNF006,PPO,Platinum,1/1/17,12/31/17
49316MN1070020,BlueAccess HSA Silver $3500 Plan 645 (ABFE),49316MN107,MNN001,MNS001,MNF001,PPO,Silver,1/1/17,12/31/17
49316MN1070021,BlueAccess Silver $2000 with 6 Free Plan 630 (ABFF),49316MN107,MNN001,MNS001,MNF007,PPO,Silver,1/1/17,12/31/17
49316MN1070022,BlueAccess HSA Silver $2700 Plan 632 (ABFG),49316MN107,MNN001,MNS001,MNF004,PPO,Silver,1/1/17,12/31/17
49316MN1070023,BlueAccess HRA Silver $3000 Plan 634 (ABFH),49316MN107,MNN001,MNS001,MNF007,PPO,Silver,1/1/17,12/31/17
49316MN1070024,BlueAccess Gold $500 with 6 Free Plan 636 (ABFJ),49316MN107,MNN001,MNS001,MNF007,PPO,Gold,1/1/17,12/31/17
49316MN1070025,BlueAccess Gold $1000 with 6 Free Plan 638 (ABFK),49316MN107,MNN001,MNS001,MNF007,PPO,Gold,1/1/17,12/31/17
49316MN1070026,BlueAccess HSA Silver $4000 Plan 640 (ABFL),49316MN107,MNN001,MNS001,MNF001,PPO,Silver,1/1/17,12/31/17
49316MN1070027,BlueAccess HSA Silver $3200 Plan 642 (ABJ3),49316MN107,MNN001,MNS001,MNF001,PPO,Silver,1/1/17,12/31/17
