Plan ID*,Rating Area ID*,Tobacco*,Age*,Individual Rate*,Tobacco Rate*
49316MN1070001,Rating Area 1,No Preference,0-20,228.58,
49316MN1070001,Rating Area 1,No Preference,21,256.83,
49316MN1070001,Rating Area 1,No Preference,22,256.83,
49316MN1070001,Rating Area 1,No Preference,23,256.83,
49316MN1070001,Rating Area 1,No Preference,24,256.83,
49316MN1070001,Rating Area 1,No Preference,25,257.86,
49316MN1070001,Rating Area 1,No Preference,26,263,
49316MN1070001,Rating Area 1,No Preference,27,269.16,
49316MN1070001,Rating Area 1,No Preference,28,279.18,
49316MN1070001,Rating Area 1,No Preference,29,287.39,
49316MN1070001,Rating Area 1,No Preference,30,291.5,
49316MN1070001,Rating Area 1,No Preference,31,297.67,
49316MN1070001,Rating Area 1,No Preference,32,303.83,
49316MN1070001,Rating Area 1,No Preference,33,307.68,
49316MN1070001,Rating Area 1,No Preference,34,311.79,
49316MN1070001,Rating Area 1,No Preference,35,313.85,
49316MN1070001,Rating Area 1,No Preference,36,315.9,
49316MN1070001,Rating Area 1,No Preference,37,317.96,
49316MN1070001,Rating Area 1,No Preference,38,320.01,
49316MN1070001,Rating Area 1,No Preference,39,324.12,
49316MN1070001,Rating Area 1,No Preference,40,328.23,
49316MN1070001,Rating Area 1,No Preference,41,334.39,
49316MN1070001,Rating Area 1,No Preference,42,340.3,
49316MN1070001,Rating Area 1,No Preference,43,348.52,
49316MN1070001,Rating Area 1,No Preference,44,358.79,
49316MN1070001,Rating Area 1,No Preference,45,370.86,
49316MN1070001,Rating Area 1,No Preference,46,385.25,
49316MN1070001,Rating Area 1,No Preference,47,401.43,
49316MN1070001,Rating Area 1,No Preference,48,419.92,
49316MN1070001,Rating Area 1,No Preference,49,438.15,
49316MN1070001,Rating Area 1,No Preference,50,458.7,
49316MN1070001,Rating Area 1,No Preference,51,478.99,
49316MN1070001,Rating Area 1,No Preference,52,501.33,
49316MN1070001,Rating Area 1,No Preference,53,523.94,
49316MN1070001,Rating Area 1,No Preference,54,548.33,
49316MN1070001,Rating Area 1,No Preference,55,572.73,
49316MN1070001,Rating Area 1,No Preference,56,599.19,
49316MN1070001,Rating Area 1,No Preference,57,625.9,
49316MN1070001,Rating Area 1,No Preference,58,654.41,
49316MN1070001,Rating Area 1,No Preference,59,668.53,
49316MN1070001,Rating Area 1,No Preference,60,697.04,
49316MN1070001,Rating Area 1,No Preference,61,721.7,
49316MN1070001,Rating Area 1,No Preference,62,737.88,
49316MN1070001,Rating Area 1,No Preference,63,758.17,
49316MN1070001,Rating Area 1,No Preference,64,770.49,
49316MN1070001,Rating Area 1,No Preference,65 and over,770.49,
49316MN1070001,Rating Area 2,No Preference,0-20,199.89,
49316MN1070001,Rating Area 2,No Preference,21,224.6,
49316MN1070001,Rating Area 2,No Preference,22,224.6,
49316MN1070001,Rating Area 2,No Preference,23,224.6,
49316MN1070001,Rating Area 2,No Preference,24,224.6,
49316MN1070001,Rating Area 2,No Preference,25,225.5,
49316MN1070001,Rating Area 2,No Preference,26,229.99,
49316MN1070001,Rating Area 2,No Preference,27,235.38,
49316MN1070001,Rating Area 2,No Preference,28,244.14,
49316MN1070001,Rating Area 2,No Preference,29,251.32,
49316MN1070001,Rating Area 2,No Preference,30,254.92,
49316MN1070001,Rating Area 2,No Preference,31,260.31,
49316MN1070001,Rating Area 2,No Preference,32,265.7,
49316MN1070001,Rating Area 2,No Preference,33,269.07,
49316MN1070001,Rating Area 2,No Preference,34,272.66,
49316MN1070001,Rating Area 2,No Preference,35,274.46,
49316MN1070001,Rating Area 2,No Preference,36,276.25,
49316MN1070001,Rating Area 2,No Preference,37,278.05,
49316MN1070001,Rating Area 2,No Preference,38,279.85,
49316MN1070001,Rating Area 2,No Preference,39,283.44,
49316MN1070001,Rating Area 2,No Preference,40,287.04,
49316MN1070001,Rating Area 2,No Preference,41,292.43,
49316MN1070001,Rating Area 2,No Preference,42,297.59,
49316MN1070001,Rating Area 2,No Preference,43,304.78,
49316MN1070001,Rating Area 2,No Preference,44,313.76,
49316MN1070001,Rating Area 2,No Preference,45,324.32,
49316MN1070001,Rating Area 2,No Preference,46,336.9,
49316MN1070001,Rating Area 2,No Preference,47,351.05,
49316MN1070001,Rating Area 2,No Preference,48,367.22,
49316MN1070001,Rating Area 2,No Preference,49,383.16,
49316MN1070001,Rating Area 2,No Preference,50,401.13,
49316MN1070001,Rating Area 2,No Preference,51,418.87,
49316MN1070001,Rating Area 2,No Preference,52,438.41,
49316MN1070001,Rating Area 2,No Preference,53,458.18,
49316MN1070001,Rating Area 2,No Preference,54,479.52,
49316MN1070001,Rating Area 2,No Preference,55,500.85,
49316MN1070001,Rating Area 2,No Preference,56,523.99,
49316MN1070001,Rating Area 2,No Preference,57,547.34,
49316MN1070001,Rating Area 2,No Preference,58,572.27,
49316MN1070001,Rating Area 2,No Preference,59,584.63,
49316MN1070001,Rating Area 2,No Preference,60,609.56,
49316MN1070001,Rating Area 2,No Preference,61,631.12,
49316MN1070001,Rating Area 2,No Preference,62,645.27,
49316MN1070001,Rating Area 2,No Preference,63,663.01,
49316MN1070001,Rating Area 2,No Preference,64,673.8,
49316MN1070001,Rating Area 2,No Preference,65 and over,673.8,
49316MN1070001,Rating Area 3,No Preference,0-20,201.19,
49316MN1070001,Rating Area 3,No Preference,21,226.05,
49316MN1070001,Rating Area 3,No Preference,22,226.05,
49316MN1070001,Rating Area 3,No Preference,23,226.05,
49316MN1070001,Rating Area 3,No Preference,24,226.05,
49316MN1070001,Rating Area 3,No Preference,25,226.96,
49316MN1070001,Rating Area 3,No Preference,26,231.48,
49316MN1070001,Rating Area 3,No Preference,27,236.9,
49316MN1070001,Rating Area 3,No Preference,28,245.72,
49316MN1070001,Rating Area 3,No Preference,29,252.95,
49316MN1070001,Rating Area 3,No Preference,30,256.57,
49316MN1070001,Rating Area 3,No Preference,31,262,
49316MN1070001,Rating Area 3,No Preference,32,267.42,
49316MN1070001,Rating Area 3,No Preference,33,270.81,
