Plan ID*,Rating Area ID*,Tobacco*,Age*,Individual Rate*,Tobacco Rate*
49316MN1070001,Rating Area 1,No Preference,0-14,318,
49316MN1070001,Rating Area 1,No Preference,15,318,
49316MN1070001,Rating Area 1,No Preference,16,318,
49316MN1070001,Rating Area 1,No Preference,17,318,
49316MN1070001,Rating Area 1,No Preference,18,318,
49316MN1070001,Rating Area 1,No Preference,19,318,
49316MN1070001,Rating Area 1,No Preference,20,318,
49316MN1070001,Rating Area 1,No Preference,21,357.3,
49316MN1070001,Rating Area 1,No Preference,22,357.3,
49316MN1070001,Rating Area 1,No Preference,23,357.3,
49316MN1070001,Rating Area 1,No Preference,24,357.3,
49316MN1070001,Rating Area 1,No Preference,25,358.73,
49316MN1070001,Rating Area 1,No Preference,26,365.88,
49316MN1070001,Rating Area 1,No Preference,27,374.45,
49316MN1070001,Rating Area 1,No Preference,28,388.39,
49316MN1070001,Rating Area 1,No Preference,29,399.82,
49316MN1070001,Rating Area 1,No Preference,30,405.54,
49316MN1070001,Rating Area 1,No Preference,31,414.11,
49316MN1070001,Rating Area 1,No Preference,32,422.69,
49316MN1070001,Rating Area 1,No Preference,33,428.05,
49316MN1070001,Rating Area 1,No Preference,34,433.76,
49316MN1070001,Rating Area 1,No Preference,35,436.62,
49316MN1070001,Rating Area 1,No Preference,36,439.48,
49316MN1070001,Rating Area 1,No Preference,37,442.34,
49316MN1070001,Rating Area 1,No Preference,38,445.2,
49316MN1070001,Rating Area 1,No Preference,39,450.91,
49316MN1070001,Rating Area 1,No Preference,40,456.63,
49316MN1070001,Rating Area 1,No Preference,41,465.21,
49316MN1070001,Rating Area 1,No Preference,42,473.42,
49316MN1070001,Rating Area 1,No Preference,43,484.86,
49316MN1070001,Rating Area 1,No Preference,44,499.15,
49316MN1070001,Rating Area 1,No Preference,45,515.94,
49316MN1070001,Rating Area 1,No Preference,46,535.95,
49316MN1070001,Rating Area 1,No Preference,47,558.46,
49316MN1070001,Rating Area 1,No Preference,48,584.19,
49316MN1070001,Rating Area 1,No Preference,49,609.56,
49316MN1070001,Rating Area 1,No Preference,50,638.14,
49316MN1070001,Rating Area 1,No Preference,51,666.37,
49316MN1070001,Rating Area 1,No Preference,52,697.45,
49316MN1070001,Rating Area 1,No Preference,53,728.89,
49316MN1070001,Rating Area 1,No Preference,54,762.84,
49316MN1070001,Rating Area 1,No Preference,55,796.78,
49316MN1070001,Rating Area 1,No Preference,56,833.58,
49316MN1070001,Rating Area 1,No Preference,57,870.74,
49316MN1070001,Rating Area 1,No Preference,58,910.4,
49316MN1070001,Rating Area 1,No Preference,59,930.05,
49316MN1070001,Rating Area 1,No Preference,60,969.71,
49316MN1070001,Rating Area 1,No Preference,61,1004.01,
49316MN1070001,Rating Area 1,No Preference,62,1026.52,
49316MN1070001,Rating Area 1,No Preference,63,1054.75,
49316MN1070001,Rating Area 1,No Preference,64 and over,1071.9,
49316MN1070001,Rating Area 2,No Preference,0-14,271.57,
49316MN1070001,Rating Area 2,No Preference,15,271.57,
49316MN1070001,Rating Area 2,No Preference,16,271.57,
49316MN1070001,Rating Area 2,No Preference,17,271.57,
49316MN1070001,Rating Area 2,No Preference,18,271.57,
49316MN1070001,Rating Area 2,No Preference,19,271.57,
49316MN1070001,Rating Area 2,No Preference,20,271.57,
49316MN1070001,Rating Area 2,No Preference,21,305.14,
49316MN1070001,Rating Area 2,No Preference,22,305.14,
49316MN1070001,Rating Area 2,No Preference,23,305.14,
49316MN1070001,Rating Area 2,No Preference,24,305.14,
49316MN1070001,Rating Area 2,No Preference,25,306.36,
49316MN1070001,Rating Area 2,No Preference,26,312.46,
49316MN1070001,Rating Area 2,No Preference,27,319.79,
49316MN1070001,Rating Area 2,No Preference,28,331.69,
49316MN1070001,Rating Area 2,No Preference,29,341.45,
49316MN1070001,Rating Area 2,No Preference,30,346.33,
49316MN1070001,Rating Area 2,No Preference,31,353.66,
49316MN1070001,Rating Area 2,No Preference,32,360.98,
49316MN1070001,Rating Area 2,No Preference,33,365.56,
49316MN1070001,Rating Area 2,No Preference,34,370.44,
49316MN1070001,Rating Area 2,No Preference,35,372.88,
49316MN1070001,Rating Area 2,No Preference,36,375.32,
49316MN1070001,Rating Area 2,No Preference,37,377.76,
49316MN1070001,Rating Area 2,No Preference,38,380.2,
49316MN1070001,Rating Area 2,No Preference,39,385.09,
49316MN1070001,Rating Area 2,No Preference,40,389.97,
49316MN1070001,Rating Area 2,No Preference,41,397.29,
49316MN1070001,Rating Area 2,No Preference,42,404.31,
49316MN1070001,Rating Area 2,No Preference,43,414.08,
49316MN1070001,Rating Area 2,No Preference,44,426.28,
49316MN1070001,Rating Area 2,No Preference,45,440.62,
49316MN1070001,Rating Area 2,No Preference,46,457.71,
49316MN1070001,Rating Area 2,No Preference,47,476.93,
49316MN1070001,Rating Area 2,No Preference,48,498.9,
49316MN1070001,Rating Area 2,No Preference,49,520.57,
49316MN1070001,Rating Area 2,No Preference,50,544.98,
49316MN1070001,Rating Area 2,No Preference,51,569.09,
49316MN1070001,Rating Area 2,No Preference,52,595.63,
49316MN1070001,Rating Area 2,No Preference,53,622.49,
49316MN1070001,Rating Area 2,No Preference,54,651.47,
49316MN1070001,Rating Area 2,No Preference,55,680.46,
49316MN1070001,Rating Area 2,No Preference,56,711.89,
49316MN1070001,Rating Area 2,No Preference,57,743.63,
49316MN1070001,Rating Area 2,No Preference,58,777.5,
49316MN1070001,Rating Area 2,No Preference,59,794.28,
49316MN1070001,Rating Area 2,No Preference,60,828.15,
49316MN1070001,Rating Area 2,No Preference,61,857.44,
49316MN1070001,Rating Area 2,No Preference,62,876.67,
49316MN1070001,Rating Area 2,No Preference,63,900.77,
49316MN1070001,Rating Area 2,No Preference,64 and over,915.42,
49316MN1070001,Rating Area 3,No Preference,0-14,273.64,
49316MN1070001,Rating Area 3,No Preference,15,273.64,
49316MN1070001,Rating Area 3,No Preference,16,273.64,
49316MN1070001,Rating Area 3,No Preference,17,273.64,
49316MN1070001,Rating Area 3,No Preference,18,273.64,
49316MN1070001,Rating Area 3,No Preference,19,273.64,
49316MN1070001,Rating Area 3,No Preference,20,273.64,
49316MN1070001,Rating Area 3,No Preference,21,307.46,
49316MN1070001,Rating Area 3,No Preference,22,307.46,
49316MN1070001,Rating Area 3,No Preference,23,307.46,
49316MN1070001,Rating Area 3,No Preference,24,307.46,
49316MN1070001,Rating Area 3,No Preference,25,308.69,
49316MN1070001,Rating Area 3,No Preference,26,314.84,
49316MN1070001,Rating Area 3,No Preference,27,322.22,
49316MN1070001,Rating Area 3,No Preference,28,334.21,
