Plan ID*,Rating Area ID*,Tobacco*,Age*,Individual Rate*,Tobacco Rate*
49316MN1070001,Rating Area 1,No Preference,0-14,341.74,
49316MN1070001,Rating Area 1,No Preference,15,341.74,
49316MN1070001,Rating Area 1,No Preference,16,341.74,
49316MN1070001,Rating Area 1,No Preference,17,341.74,
49316MN1070001,Rating Area 1,No Preference,18,341.74,
49316MN1070001,Rating Area 1,No Preference,19,341.74,
49316MN1070001,Rating Area 1,No Preference,20,341.74,
49316MN1070001,Rating Area 1,No Preference,21,383.98,
49316MN1070001,Rating Area 1,No Preference,22,383.98,
49316MN1070001,Rating Area 1,No Preference,23,383.98,
49316MN1070001,Rating Area 1,No Preference,24,383.98,
49316MN1070001,Rating Area 1,No Preference,25,385.52,
49316MN1070001,Rating Area 1,No Preference,26,393.2,
49316MN1070001,Rating Area 1,No Preference,27,402.41,
49316MN1070001,Rating Area 1,No Preference,28,417.39,
49316MN1070001,Rating Area 1,No Preference,29,429.68,
49316MN1070001,Rating Area 1,No Preference,30,435.82,
49316MN1070001,Rating Area 1,No Preference,31,445.04,
49316MN1070001,Rating Area 1,No Preference,32,454.25,
49316MN1070001,Rating Area 1,No Preference,33,460.01,
49316MN1070001,Rating Area 1,No Preference,34,466.16,
49316MN1070001,Rating Area 1,No Preference,35,469.23,
49316MN1070001,Rating Area 1,No Preference,36,472.3,
49316MN1070001,Rating Area 1,No Preference,37,475.37,
49316MN1070001,Rating Area 1,No Preference,38,478.44,
49316MN1070001,Rating Area 1,No Preference,39,484.59,
49316MN1070001,Rating Area 1,No Preference,40,490.73,
49316MN1070001,Rating Area 1,No Preference,41,499.95,
49316MN1070001,Rating Area 1,No Preference,42,508.78,
49316MN1070001,Rating Area 1,No Preference,43,521.06,
49316MN1070001,Rating Area 1,No Preference,44,536.42,
49316MN1070001,Rating Area 1,No Preference,45,554.47,
49316MN1070001,Rating Area 1,No Preference,46,575.97,
49316MN1070001,Rating Area 1,No Preference,47,600.17,
49316MN1070001,Rating Area 1,No Preference,48,627.81,
49316MN1070001,Rating Area 1,No Preference,49,655.07,
49316MN1070001,Rating Area 1,No Preference,50,685.79,
49316MN1070001,Rating Area 1,No Preference,51,716.13,
49316MN1070001,Rating Area 1,No Preference,52,749.53,
49316MN1070001,Rating Area 1,No Preference,53,783.33,
49316MN1070001,Rating Area 1,No Preference,54,819.8,
49316MN1070001,Rating Area 1,No Preference,55,856.28,
49316MN1070001,Rating Area 1,No Preference,56,895.83,
49316MN1070001,Rating Area 1,No Preference,57,935.77,
49316MN1070001,Rating Area 1,No Preference,58,978.39,
49316MN1070001,Rating Area 1,No Preference,59,999.51,
49316MN1070001,Rating Area 1,No Preference,60,1042.13,
49316MN1070001,Rating Area 1,No Preference,61,1078.99,
49316MN1070001,Rating Area 1,No Preference,62,1103.18,
49316MN1070001,Rating Area 1,No Preference,63,1133.52,
49316MN1070001,Rating Area 1,No Preference,64 and over,1151.94,
49316MN1070001,Rating Area 2,No Preference,0-14,295.86,
49316MN1070001,Rating Area 2,No Preference,15,295.86,
49316MN1070001,Rating Area 2,No Preference,16,295.86,
49316MN1070001,Rating Area 2,No Preference,17,295.86,
49316MN1070001,Rating Area 2,No Preference,18,295.86,
49316MN1070001,Rating Area 2,No Preference,19,295.86,
49316MN1070001,Rating Area 2,No Preference,20,295.86,
49316MN1070001,Rating Area 2,No Preference,21,332.42,
49316MN1070001,Rating Area 2,No Preference,22,332.42,
49316MN1070001,Rating Area 2,No Preference,23,332.42,
