Service Area ID*,Service Area Name*,State*,County Name,Partial County,Service Area Zip Codes
MNS001,GVN Service Area 1,No,Goodhue,No,
MNS001,GVN Service Area 1,No,Wabasha,No,
MNS001,GVN Service Area 1,No,Winona,No,
MNS001,GVN Service Area 1,No,Houston,No,
MNS001,GVN Service Area 1,No,Fillmore,No,
MNS001,GVN Service Area 1,No,Dodge,No,
MNS002,GVN Service Area 2,No,Carlton,No,
MNS002,GVN Service Area 2,No,Cook,No,
MNS002,GVN Service Area 2,No,Itasca,No,
MNS002,GVN Service Area 2,No,Koochiching,No,
MNS002,GVN Service Area 2,No,Lake,No,
MNS002,GVN Service Area 2,No,Lake of the Woods,No,
MNS002,GVN Service Area 2,No,St. Louis,No,
MNS003,GVN Service Area 3,No,Nicollet,No,
MNS003,GVN Service Area 3,No,Blue Earth,No,
MNS003,GVN Service Area 3,No,Watonwan,No,
MNS003,GVN Service Area 3,No,Martin,No,
MNS003,GVN Service Area 3,No,Faribault,No,
MNS004,GVN - SERVICE AREA 4,No,Brown,No,
MNS004,GVN - SERVICE AREA 4,No,Cottonwood,No,
MNS004,GVN - SERVICE AREA 4,No,Jackson,No,
MNS004,GVN - SERVICE AREA 4,No,Lincoln,No,
MNS004,GVN - SERVICE AREA 4,No,Murray,No,
MNS004,GVN - SERVICE AREA 4,No,Nobles,No,
MNS004,GVN - SERVICE AREA 4,No,Pipestone,No,
MNS004,GVN - SERVICE AREA 4,No,Redwood,No,
MNS004,GVN - SERVICE AREA 4,No,Rock,No,
MNS005,GVN SERVICE AREA 5,No,BigStone,No,
MNS005,GVN SERVICE AREA 5,No,Chippewa,No,
MNS005,GVN SERVICE AREA 5,No,Kandiyohi,No,
MNS005,GVN SERVICE AREA 5,No,Lac Qui Parle,No,
MNS005,GVN SERVICE AREA 5,No,Lyon,No,
MNS005,GVN SERVICE AREA 5,No,McLeod,No,
MNS005,GVN SERVICE AREA 5,No,Meeker,No,
MNS005,GVN SERVICE AREA 5,No,Renville,No,
MNS005,GVN SERVICE AREA 5,No,Sibley,No,
MNS005,GVN SERVICE AREA 5,No,Swift,No,
MNS005,GVN SERVICE AREA 5,No,Yellow Medicine,No,
MNS006,GVN Service Area 6,No,Becker,No,
MNS006,GVN Service Area 6,No,Clay,No,
MNS006,GVN Service Area 6,No,Douglas,No,
MNS006,GVN Service Area 6,No,Grant,No,
MNS006,GVN Service Area 6,No,Otter Tail,No,
MNS006,GVN Service Area 6,No,Pope,No,
MNS006,GVN Service Area 6,No,Stevens,No,
MNS006,GVN Service Area 6,No,Traverse,No,
MNS006,GVN Service Area 6,No,Wilkin,No,
MNS007,GVN Service Area 7,No,Aitkin,No,
MNS007,GVN Service Area 7,No,Beltrami,No,
MNS007,GVN Service Area 7,No,Cass,No,
MNS007,GVN Service Area 7,No,Chisago,No,
MNS007,GVN Service Area 7,No,Crow Wing,No,
MNS007,GVN Service Area 7,No,Hubbard,No,
MNS007,GVN Service Area 7,No,Isanti,No,
MNS007,GVN Service Area 7,No,Kanabec,No,
MNS007,GVN Service Area 7,No,MilleLacs,No,
MNS007,GVN Service Area 7,No,Morrison,No,
MNS007,GVN Service Area 7,No,Pine,No,
MNS007,GVN Service Area 7,No,Roseau,No,
MNS007,GVN Service Area 7,No,Todd,No,
MNS007,GVN Service Area 7,No,Wadena,No,
MNS008,GVN Service Area 8,No,Anoka,No,
MNS008,GVN Service Area 8,No,Benton,No,
MNS008,GVN Service Area 8,No,Carver,No,
MNS008,GVN Service Area 8,No,Dakota,No,
MNS008,GVN Service Area 8,No,Hennepin,No,
MNS008,GVN Service Area 8,No,Ramsey,No,
MNS008,GVN Service Area 8,No,Scott,No,
MNS008,GVN Service Area 8,No,Sherburne,No,
MNS008,GVN Service Area 8,No,Stearns,No,
MNS008,GVN Service Area 8,No,Washington,No,
MNS008,GVN Service Area 8,No,Wright,No,
MNS009,GVN Service Area 9,No,Clearwater,No,
MNS009,GVN Service Area 9,No,Kittson,No,
MNS009,GVN Service Area 9,No,Mahnomen,No,
MNS009,GVN Service Area 9,No,Marshall,No,
MNS009,GVN Service Area 9,No,Norman,No,
MNS009,GVN Service Area 9,No,Pennington,No,
MNS009,GVN Service Area 9,No,Polk,No,
MNS009,GVN Service Area 9,No,RedLake,No,
MNS001,GVN Service Area 1,No,Freeborn,No,
MNS003,GVN Service Area 3,No,Le Sueur,No,
MNS001,GVN Service Area 1,No,Mower,No,
MNS001,GVN Service Area 1,No,Olmsted,No,
MNS003,GVN Service Area 3,No,Rice,No,
MNS001,GVN Service Area 1,No,Steele,No,
MNS003,GVN Service Area 3,No,Waseca,No,
MNS00100,AWARE,Yes,,,
