client_number,client_name,plan_id,group_number,dental,renewal,Rnw_Single,Rnw_TwoParty,Rnw_Family,Rnw_PChild,Rnw_PChildren
262517,MANKATO REFRIGERATION LLC,,10462891,Dental,9/1/2019,41.54,77.11,123.01,77.11,123.01
179090,REMANCO HYDRAULICS INC,,10417978,Dental,9/1/2019,36.53,67.84,108.1,67.84,108.1
179198,DODGE COUNTY SOIL AND WATER CONSERVATION DIST,,10420156,Dental,9/1/2019,42.39,78.7,125.46,78.7,125.46
179399,WENZEL-PLYMOUTH PLUMBING LLC,,10418031,Dental,9/1/2019,38.66,71.67,114.27,71.67,114.27
229885,EW Hearst Holdings LLC,,10286046,Dental,9/1/2019,44.08,81.86,130.47,81.86,130.47
240001,Excelsior Energy Capital LP,,10325330,Dental,9/1/2019,40.2,74.54,118.84,74.54,118.84
179207,CONFLUENCE INTL INC,,10403429,Dental,9/1/2019,38.66,71.67,114.27,71.67,114.27
179214,HIGLEY FORD SALES CO. INC,,10433009,Dental,9/1/2019,48.78,90.53,144.31,90.53,144.31
179250,AULD'S COMMUNICATIONS,,10421399,Dental,9/1/2019,37.91,70.29,112.04,70.29,112.04
179388,PISCES POOLS INC,,10420112,Dental,9/1/2019,38.66,71.67,114.27,71.67,114.27
229679,Preferred Powder Coating,,10285212,Dental,9/1/2019,37.21,72.77,131.47,72.77,131.47
229680,OakRidge Center,,10324674,Dental,9/1/2019,40.2,74.54,118.84,74.54,118.84
229728,Real Time Leasing LLC,,10422829,Dental,9/1/2019,36.85,68.38,108.95,68.38,108.95
239268,Weavers Guild of Minnesota,,10431140,Dental,9/1/2019,36.1,66.99,106.82,66.99,106.82
257621,Anderson Mosier Realty Group  LLC,,10420126,Dental,9/1/2019,38.66,71.67,114.27,71.67,114.27
257672,Brandtjen Farms Limited Partnership,,10421239,Dental,9/1/2019,38.66,71.67,114.27,71.67,114.27
257739,"b+d Custom Crafts, LLC",,10421565,Dental,9/1/2019,36.1,66.99,106.82,66.99,106.82
257752,Fuhr Trenching Inc,,10421981,Dental,9/1/2019,36.85,68.37,108.95,68.37,108.95
