Client Number,client_name,plan_id,group_number,dental,renewal,Rnw_Single,Rnw_TwoParty,Rnw_Family,Rnw_Pchild,Rnw_Pchildren
179546,NOTIFICATION SYSTEMS INC,,10288332,Dental,10/1/2019,41.79,77.49,123.51,77.49,123.51
230469,NETTWORK MANUFACTURING INC,,10288560,Dental,10/1/2019,46.14,85.59,136.43,85.59,136.43
239998,1 LAYER TECHNOLOGIES LLC,,10325321,Dental,10/1/2019,40.19,74.51,118.76,74.51,118.76
179911,WAYNE BRUNKOW INC,,10326966,Dental,10/1/2019,44.93,83.42,132.99,83.42,132.99
240348,605 MEDIA INC DBA 3PLAINS,,10327305,Dental,10/1/2019,24.5,45.6,72.93,45.6,72.93
240414,DEPENDABLE HEATING AND COOLING,,10327528,Dental,10/1/2019,40.98,75.98,121.13,75.98,121.13
240524,THE MAYTAG PROJECT LLC,,10328147,Dental,10/1/2019,24.5,45.6,72.93,45.6,72.93
240578,WORKFLOW SOLUTIONS 360,,10328313,Dental,10/1/2019,39.06,72.47,115.49,72.47,115.49
179890,SA SUBWAY INC HASTINGS,,10408095,Dental,10/1/2019,40.19,74.51,118.76,74.51,118.76
179700,SHARBO INC,,10409384,Dental,10/1/2019,47.07,87.37,139.3,87.37,139.3
230548,MIDWEST ASSOCIATES LLC DBA ALL AMERICAN SELF,,10409385,Dental,10/1/2019,38.66,71.67,114.27,71.67,114.27
179936,DEVONSHIRE COMMERCIAL LLC ALL AMERICAN SELF S,,10409386,Dental,10/1/2019,40.98,75.98,121.13,75.98,121.13
229998,BLUHM CONSTRUCTION INC,,10425042,Dental,10/1/2019,44.41,82.43,131.42,82.43,131.42
258109,MINNESOTA SANDWICH SHOPS LLC DBA JERSEY MIKES,,10425890,Dental,10/1/2019,40.47,75.08,119.71,75.08,119.71
258142,TRANSPORT EQUIPMENT MARKETING GROUP,,10426276,Dental,10/1/2019,36.1,66.99,106.82,66.99,106.82
258185,T K CARDBOARD SPECIALTIES INC,,10426549,Dental,10/1/2019,38.66,71.67,114.27,71.67,114.27
258254,ECLIPSE SELECT MN LLC,,10427612,Dental,10/1/2019,36.85,68.37,108.95,68.37,108.95
258261,SASSE COMPANY PA DBA WILLOW PET HOSPITAL,,10427639,Dental,10/1/2019,41.54,77.11,123.01,77.11,123.01
258279,NORTHSTAR ORGANICS LLC,,10427754,Dental,10/1/2019,44.41,82.43,131.42,82.43,131.42
258296,CITY OF LAKES MEDIA INC,,10427860,Dental,10/1/2019,48.78,90.53,144.31,90.53,144.31
258297,HARRIS HARDWOODS INC,,10427879,Dental,10/1/2019,48.78,90.53,144.31,90.53,144.31
258383,J C YOUNGER COMPANY INC,,10428554,Dental,10/1/2019,38.66,71.67,114.27,71.67,114.27
179610,WORTHINGTON CONTAINER INC,,10449831,Dental,10/1/2019,30.25,60.49,96.6,60.49,96.6
179943,RESOUNDANT INC,,10453803,Dental,10/1/2019,42.49,85.73,136.64,85.73,136.64
179723,GARRY LLC DBA GARRY INSURANCENTER,,10454798,Dental,10/1/2019,38.34,77.32,123.33,77.32,123.33
179916,Steepery Tea Holdings LLC,,10478466,Dental,10/1/2019,24.18,48.35,77.32,48.35,77.32
