HIOS Plan ID,Plan Marketing Name*,HIOS Product ID*,Network ID*,Service Area ID*,Formulary ID*,Plan Type*,Level of Coverage*,Plan Effective Date*,Plan Expiration Date
49316MN1070001,BlueAccess HSA Bronze $6750 Plan 624,49316MN107,MNN001,MNS001,MNF004,PPO,Bronze,1/1/2019,12/31/2019
49316MN1070003,BlueAccess HSA Bronze $5500 Plan 620,49316MN107,MNN001,MNS001,MNF005,PPO,Bronze,1/1/2019,12/31/2019
49316MN1070004,BlueAccess Silver $2500 Plan 623,49316MN107,MNN001,MNS001,MNF001,PPO,Silver,1/1/2019,12/31/2019
49316MN1070005,BlueAccess Silver $3000 Plan 625,49316MN107,MNN001,MNS001,MNF001,PPO,Silver,1/1/2019,12/31/2019
49316MN1070006,BlueAccess Silver $3800 Plan 627,49316MN107,MNN001,MNS001,MNF001,PPO,Silver,1/1/2019,12/31/2019
49316MN1070010,BlueAccess Gold $500 Plan 635,49316MN107,MNN001,MNS001,MNF001,PPO,Gold,1/1/2019,12/31/2019
49316MN1070011,BlueAccess Gold $1000 Plan 637,49316MN107,MNN001,MNS001,MNF001,PPO,Gold,1/1/2019,12/31/2019
49316MN1070018,BlueAccess HSA Gold $2200 Plan 653,49316MN107,MNN001,MNS001,MNF004,PPO,Gold,1/1/2019,12/31/2019
49316MN1070019,BlueAccess Platinum No Deductible Plan 655,49316MN107,MNN001,MNS001,MNF002,PPO,Platinum,1/1/2019,12/31/2019
49316MN1070020,BlueAccess HSA Silver $4000 Plan 645,49316MN107,MNN001,MNS001,MNF004,PPO,Silver,1/1/2019,12/31/2019
49316MN1070022,BlueAccess HSA Silver $2700 Plan 632,49316MN107,MNN001,MNS001,MNF005,PPO,Silver,1/1/2019,12/31/2019
49316MN1070026,BlueAccess HSA Silver $4500 Plan 640 ,49316MN107,MNN001,MNS001,MNF004,PPO,Silver,1/1/2019,12/31/2019
49316MN1070027,BlueAccess HSA Silver $3675 Plan 642,49316MN107,MNN001,MNS001,MNF004,PPO,Silver,1/1/2019,12/31/2019
49316MN1070028,BlueAccess Bronze $7900 Plan 618,49316MN107,MNN001,MNS001,MNF003,PPO,Bronze,1/1/2019,12/31/2019
49316MN1070029,BlueAccess Gold $2000 Plan 652,49316MN107,MNN001,MNS001,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0220001,High Value HSA Bronze $6750 Plan 656,57129MN022,MNN009,MNS001,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0220002,High Value HSA Bronze $5500 Plan 658,57129MN022,MNN009,MNS001,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0220003,High Value HSA Silver $4000 Plan 660,57129MN022,MNN009,MNS001,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0220004,High Value Silver $2500 Plan 662,57129MN022,MNN009,MNS001,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0220005,High Value Gold $1000 Plan 664,57129MN022,MNN009,MNS001,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0220006,High Value Bronze $7900 Plan 550,57129MN022,MNN009,MNS001,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0220007,High Value Silver $3000 Plan 551,57129MN022,MNN009,MNS001,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0220008,High Value Silver $3800 Plan 552,57129MN022,MNN009,MNS001,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0220009,High Value HSA Silver $2700 Plan 553,57129MN022,MNN009,MNS001,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0220010,High Value HSA Silver $4500 Plan 554,57129MN022,MNN009,MNS001,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0220011,High Value HSA Silver $3675 Plan 555,57129MN022,MNN009,MNS001,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0220012,High Value Gold $500 Plan 556,57129MN022,MNN009,MNS001,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0220013,High Value Gold $2000 Plan 557,57129MN022,MNN009,MNS001,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0220014,High Value HSA Gold $2200 Plan 558,57129MN022,MNN009,MNS001,MNF004,PPO,Gold,1/1/2019,12/31/2019
57129MN0220015,High Value Platinum No Deductible Plan 559,57129MN022,MNN009,MNS001,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180002,BlueValue HSA Bronze $6750 Plan 676,57129MN018,MNN003,MNS019,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180003,BlueValue HSA Silver $4000 Plan 677,57129MN018,MNN003,MNS019,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180004,BlueValue Silver $2500 Plan 678,57129MN018,MNN003,MNS019,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180006,BlueValue Gold $1000 Plan 680,57129MN018,MNN003,MNS019,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180007,BlueValue Platinum No Deductible Plan 682,57129MN018,MNN003,MNS019,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180015,BlueValue HSA Bronze $6750 Plan 676,57129MN018,MNN003,MNS020,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180016,BlueValue HSA Bronze $6750 Plan 676,57129MN018,MNN003,MNS021,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180017,BlueValue HSA Bronze $6750 Plan 676,57129MN018,MNN003,MNS022,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180018,BlueValue HSA Bronze $6750 Plan 676,57129MN018,MNN003,MNS023,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180019,BlueValue HSA Bronze $6750 Plan 676,57129MN018,MNN003,MNS024,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180020,BlueValue HSA Bronze $6750 Plan 676,57129MN018,MNN003,MNS025,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180021,BlueValue HSA Silver $4000 Plan 677,57129MN018,MNN003,MNS020,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180022,BlueValue HSA Silver $4000 Plan 677,57129MN018,MNN003,MNS021,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180023,BlueValue HSA Silver $4000 Plan 677,57129MN018,MNN003,MNS022,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180024,BlueValue HSA Silver $4000 Plan 677,57129MN018,MNN003,MNS023,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180025,BlueValue HSA Silver $4000 Plan 677,57129MN018,MNN003,MNS024,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180026,BlueValue HSA Silver $4000 Plan 677,57129MN018,MNN003,MNS025,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180027,BlueValue Silver $2500 Plan 678,57129MN018,MNN003,MNS020,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180028,BlueValue Silver $2500 Plan 678,57129MN018,MNN003,MNS021,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180029,BlueValue Silver $2500 Plan 678,57129MN018,MNN003,MNS022,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180030,BlueValue Silver $2500 Plan 678,57129MN018,MNN003,MNS023,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180031,BlueValue Silver $2500 Plan 678,57129MN018,MNN003,MNS024,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180032,BlueValue Silver $2500 Plan 678,57129MN018,MNN003,MNS025,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180039,BlueValue Gold $1000 Plan 680,57129MN018,MNN003,MNS020,MNF001,PPO,Gold,1/1/2019,12/31/2019
