REGION,Area,PLAN_TYPE,PARTICIPATION_MINIMUM,PARTICIPATION_MAXIMUM,MINIMUM_ENROLLED,PLAN_ID,TIERS,PRODUCT_ID,PRODUCT_NAME,INDIVIDUAL,TWO_PERSON,IND_PLUS_1_CHILD,IND_PLUS_CHILDREN,FAMILY,DOCUMENT_URL,EFFECTIVE_DATE,END_DATE,MAXIMUM_ENROLLED,VERSION,UNIQUE_IDENTIFIER,ORTHO,GrandfatherExpirationDate,RELATION_ID
MN,METRO,Freedom,70,100,1,9GBAIC431011,THREE,2103594148,Enhanced $50/$150 Ded $1000 Max 3-Tier METRO,34.6,64.2,64.2,102.3,102.3,,1/1/18,6/30/18,9,0,,,,9GBAIC
MN,METRO,Freedom,20,70,10,3Z19X9431012,THREE,2103594148,Enhanced $50/$150 Ded $1000 Max 3-Tier METRO,36.5,67.7,67.7,107.9,107.9,,1/1/18,6/30/18,50,0,,,,3Z19X9
MN,METRO,Freedom,70,100,10,7IU8KL431013,THREE,2103594148,Enhanced $50/$150 Ded $1000 Max 3-Tier METRO,31.8,58.9,58.9,93.9,93.9,,1/1/18,6/30/18,50,0,,,,7IU8KL
MN,METRO,Freedom,20,69,1,NA3431014,THREE,2103594148,Enhanced $50/$150 Ded $1000 Max 3-Tier METRO,39.8,73.8,73.8,117.6,117.6,,1/1/18,6/30/18,9,0,,,,NA3
MN,METRO,Freedom,70,100,1,7H4IQX431015,THREE,2103594195,Enhanced $50/$150 Ded $1500 Max 3-Tier METRO,36.3,67.3,67.3,107.3,107.3,,1/1/18,6/30/18,9,0,,,,7H4IQX
MN,METRO,Freedom,20,70,10,KEIPQT431016,THREE,2103594195,Enhanced $50/$150 Ded $1500 Max 3-Tier METRO,38.3,71,71,113.2,113.2,,1/1/18,6/30/18,50,0,,,,KEIPQT
MN,METRO,Freedom,70,100,10,DI0FEX431017,THREE,2103594195,Enhanced $50/$150 Ded $1500 Max 3-Tier METRO,33.3,61.8,61.8,98.4,98.4,,1/1/18,6/30/18,50,0,,,,DI0FEX
MN,METRO,Freedom,20,69,1,NA4431018,THREE,2103594195,Enhanced $50/$150 Ded $1500 Max 3-Tier METRO,41.7,77.4,77.4,123.4,123.4,,1/1/18,6/30/18,9,0,,,,NA4
MN,METRO,Preferred,70,100,1,X4GUJ4431019,THREE,2103594247,$50/$150 Ded $1000 Max 3-Tier METRO,33.9,62.9,62.9,100.3,100.3,,1/1/18,6/30/18,9,0,,,,X4GUJ4
MN,METRO,Preferred,20,70,10,2ZD66Y4310110,THREE,2103594247,$50/$150 Ded $1000 Max 3-Tier METRO,35.8,66.4,66.4,105.8,105.8,,1/1/18,6/30/18,50,0,,,,2ZD66Y
