Client Number,client_name,plan_id,group_number,dental,renewal,Rnw_Single,Rnw_TwoParty,Rnw_Family,Rnw_PChild,Rnw_PChildren
229404,Lighthouse Christian Church,,10321788,Dental,8/1/2019,40.2,74.54,118.84,74.54,118.84
239333,Behnke Ventures Inc. dba Lynn's Cake & Candy Supplies,,10322371,Dental,8/1/2019,47.18,93.49,142.77,85.39,85.39
239333,Behnke Ventures Inc. dba Lynn's Cake & Candy Supplies,,10322401,Dental,8/1/2019,47.18,93.49,142.77,85.39,85.39
178816,PULLTABS PLUS INC,,10284270,Dental,8/1/2019,41,76.03,121.19,76.03,121.19
239469,Lab 651 LLC,,10322723,Dental,8/1/2019,40.2,74.54,118.84,74.54,118.84
229598,Ed Lunn Construction Inc,,10322418,Dental,8/1/2019,40.53,75.09,119.73,75.09,119.73
178635,STREFF INSURANCE SERVICES,,10405482,Dental,8/1/2019,38.66,71.67,114.27,71.67,114.27
178716,"Newman Auto Service and Repair, LLC DBA Dale Feste Automotive",,10417462,Dental,8/1/2019,38.66,71.67,114.27,71.67,114.27
241884,NI Magnuson Christian School,,10335308,Dental,8/1/2019,38.68,68.05,108.44,68.05,108.44
257163,"iFour Consumer Services, Inc.",,10415827,Dental,8/1/2019,35.46,65.82,104.8,65.82,104.8
257268,Amy Darr Grady Attorney at Law,,10417272,Dental,8/1/2019,38.66,71.67,114.27,71.67,114.27
257422,Roger S Hogue MD PA,,10417959,Dental,8/1/2019,38.66,71.67,114.27,71.67,114.27
178578,A & M GROUP INC,,10284345,Dental,8/1/2019,25,46.54,74.41,46.54,74.41
