Plan ID*,Rating Area ID*,Tobacco*,Age*,Individual Rate*,Tobacco Rate*
49316MN1070001,Rating Area 1,No Preference,0-14,312.66,
49316MN1070001,Rating Area 1,No Preference,15,312.66,
49316MN1070001,Rating Area 1,No Preference,16,312.66,
49316MN1070001,Rating Area 1,No Preference,17,312.66,
49316MN1070001,Rating Area 1,No Preference,18,312.66,
49316MN1070001,Rating Area 1,No Preference,19,312.66,
49316MN1070001,Rating Area 1,No Preference,20,312.66,
49316MN1070001,Rating Area 1,No Preference,21,351.3,
49316MN1070001,Rating Area 1,No Preference,22,351.3,
49316MN1070001,Rating Area 1,No Preference,23,351.3,
49316MN1070001,Rating Area 1,No Preference,24,351.3,
49316MN1070001,Rating Area 1,No Preference,25,352.71,
49316MN1070001,Rating Area 1,No Preference,26,359.74,
49316MN1070001,Rating Area 1,No Preference,27,368.17,
49316MN1070001,Rating Area 1,No Preference,28,381.87,
49316MN1070001,Rating Area 1,No Preference,29,393.11,
49316MN1070001,Rating Area 1,No Preference,30,398.73,
49316MN1070001,Rating Area 1,No Preference,31,407.16,
49316MN1070001,Rating Area 1,No Preference,32,415.59,
49316MN1070001,Rating Area 1,No Preference,33,420.86,
49316MN1070001,Rating Area 1,No Preference,34,426.48,
49316MN1070001,Rating Area 1,No Preference,35,429.29,
49316MN1070001,Rating Area 1,No Preference,36,432.1,
49316MN1070001,Rating Area 1,No Preference,37,434.91,
49316MN1070001,Rating Area 1,No Preference,38,437.73,
49316MN1070001,Rating Area 1,No Preference,39,443.35,
49316MN1070001,Rating Area 1,No Preference,40,448.97,
49316MN1070001,Rating Area 1,No Preference,41,457.4,
49316MN1070001,Rating Area 1,No Preference,42,465.48,
49316MN1070001,Rating Area 1,No Preference,43,476.72,
49316MN1070001,Rating Area 1,No Preference,44,490.77,
49316MN1070001,Rating Area 1,No Preference,45,507.28,
49316MN1070001,Rating Area 1,No Preference,46,526.96,
49316MN1070001,Rating Area 1,No Preference,47,549.09,
49316MN1070001,Rating Area 1,No Preference,48,574.38,
49316MN1070001,Rating Area 1,No Preference,49,599.33,
49316MN1070001,Rating Area 1,No Preference,50,627.43,
49316MN1070001,Rating Area 1,No Preference,51,655.18,
49316MN1070001,Rating Area 1,No Preference,52,685.75,
49316MN1070001,Rating Area 1,No Preference,53,716.66,
49316MN1070001,Rating Area 1,No Preference,54,750.04,
49316MN1070001,Rating Area 1,No Preference,55,783.41,
49316MN1070001,Rating Area 1,No Preference,56,819.59,
49316MN1070001,Rating Area 1,No Preference,57,856.13,
49316MN1070001,Rating Area 1,No Preference,58,895.12,
49316MN1070001,Rating Area 1,No Preference,59,914.45,
49316MN1070001,Rating Area 1,No Preference,60,953.44,
49316MN1070001,Rating Area 1,No Preference,61,987.17,
49316MN1070001,Rating Area 1,No Preference,62,1009.3,
49316MN1070001,Rating Area 1,No Preference,63,1037.05,
49316MN1070001,Rating Area 1,No Preference,64 and over,1053.9,
49316MN1070001,Rating Area 2,No Preference,0-14,267.02,
49316MN1070001,Rating Area 2,No Preference,15,267.02,
49316MN1070001,Rating Area 2,No Preference,16,267.02,
49316MN1070001,Rating Area 2,No Preference,17,267.02,
49316MN1070001,Rating Area 2,No Preference,18,267.02,
49316MN1070001,Rating Area 2,No Preference,19,267.02,
49316MN1070001,Rating Area 2,No Preference,20,267.02,
49316MN1070001,Rating Area 2,No Preference,21,300.02,
49316MN1070001,Rating Area 2,No Preference,22,300.02,
49316MN1070001,Rating Area 2,No Preference,23,300.02,
49316MN1070001,Rating Area 2,No Preference,24,300.02,
49316MN1070001,Rating Area 2,No Preference,25,301.22,
49316MN1070001,Rating Area 2,No Preference,26,307.22,
49316MN1070001,Rating Area 2,No Preference,27,314.42,
49316MN1070001,Rating Area 2,No Preference,28,326.12,
49316MN1070001,Rating Area 2,No Preference,29,335.72,
49316MN1070001,Rating Area 2,No Preference,30,340.52,
