REGION,RATING_AREA,PLAN_TYPE,PARTICIPATION_MINIMUM,PARTICIPATION_MAXIMUM,MINIMUM_ENROLLED,PLAN_ID,TIERS,PRODUCT_ID,PRODUCT_NAME,INDIVIDUAL,TWO_PERSON,IND_PLUS_1_CHILD,IND_PLUS_CHILDREN,FAMILY,DOCUMENT_URL,EFFECTIVE_DATE,END_DATE,MAXIMUM_ENROLLED,VERSION,UNIQUE_IDENTIFIER,ORTHO,GRANDFATHER_EXPIRATION_DATE,RELATION_ID
MN,NON METRO,Preferred,70,100,10,1CVBI9438311,THREE,2129625136,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,43.6,90.2,90.2,153.1,153.1,,1/1/20,1/31/20,50,0,,1000,,1CVBI9
MN,NON METRO,Preferred,20,69,10,LDXEEQ438312,THREE,2129625136,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,50.2,103.7,103.7,176,176,,1/1/20,1/31/20,50,0,,1000,,LDXEEQ
MN,NON METRO,Preferred,70,100,10,1CVBI9438623,THREE,2129625141,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,43.6,90.2,90.2,153.1,153.1,,2/1/20,2/29/20,50,0,,1000,,1CVBI9
MN,NON METRO,Preferred,20,69,10,LDXEEQ438624,THREE,2129625141,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,50.2,103.7,103.7,176,176,,2/1/20,2/29/20,50,0,,1000,,LDXEEQ
MN,NON METRO,Preferred,20,69,10,LDXEEQ438915,THREE,2129625142,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro,50.2,103.7,103.7,176,176,,3/1/20,3/31/20,50,0,,1000,,LDXEEQ
MN,NON METRO,Preferred,70,100,10,1CVBI9438916,THREE,2129625142,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro,43.6,90.2,90.2,153.1,153.1,,3/1/20,3/31/20,50,0,,1000,,1CVBI9
MN,NON METRO,Preferred,70,100,10,1CVBI9439227,THREE,2129625143,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,43.6,90.2,90.2,153.1,153.1,,4/1/20,4/30/20,50,0,,1000,,1CVBI9
MN,NON METRO,Preferred,20,69,10,LDXEEQ439228,THREE,2129625143,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,50.2,103.7,103.7,176,176,,4/1/20,4/30/20,50,0,,1000,,LDXEEQ
MN,NON METRO,Preferred,70,100,10,1CVBI9439529,THREE,2129625144,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,43.6,90.2,90.2,153.1,153.1,,5/1/20,5/31/20,50,0,,1000,,1CVBI9
MN,NON METRO,Preferred,20,69,10,LDXEEQ4395210,THREE,2129625144,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,50.2,103.7,103.7,176,176,,5/1/20,5/31/20,50,0,,1000,,LDXEEQ
MN,NON METRO,Preferred,70,100,10,1CVBI94398311,THREE,2129625145,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,43.6,90.2,90.2,153.1,153.1,,6/1/20,6/30/20,50,0,,1000,,1CVBI9
MN,NON METRO,Preferred,20,69,10,LDXEEQ4398312,THREE,2129625145,Preferred w/Ortho $1000  $50/$150 Ded $1500 Max 3 Tier Non Metro ,50.2,103.7,103.7,176,176,,6/1/20,6/30/20,50,0,,1000,,LDXEEQ
MN,NON METRO,Freedom,20,69,25,AAFZGA4383113,THREE,2129626021,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,48.8,103.6,103.6,186.5,186.5,,1/1/20,1/31/20,50,0,,2000,,AAFZGA
MN,NON METRO,Freedom,70,100,25,SSLP1Z4383114,THREE,2129626021,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,42.4,90.1,90.1,162.2,162.2,,1/1/20,1/31/20,50,0,,2000,,SSLP1Z
MN,NON METRO,Freedom,20,69,25,AAFZGA4386215,THREE,2129626029,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,48.8,103.6,103.6,186.5,186.5,,2/1/20,2/29/20,50,0,,2000,,AAFZGA
MN,NON METRO,Freedom,70,100,25,SSLP1Z4386216,THREE,2129626029,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,42.4,90.1,90.1,162.2,162.2,,2/1/20,2/29/20,50,0,,2000,,SSLP1Z
MN,NON METRO,Freedom,20,69,25,AAFZGA4389117,THREE,2129626031,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,48.8,103.6,103.6,186.5,186.5,,3/1/20,3/31/20,50,0,,2000,,AAFZGA
MN,NON METRO,Freedom,70,100,25,SSLP1Z4389118,THREE,2129626031,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,42.4,90.1,90.1,162.2,162.2,,3/1/20,3/31/20,50,0,,2000,,SSLP1Z
MN,NON METRO,Freedom,20,69,25,AAFZGA4392219,THREE,2129626032,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,48.8,103.6,103.6,186.5,186.5,,4/1/20,4/30/20,50,0,,2000,,AAFZGA
MN,NON METRO,Freedom,70,100,25,SSLP1Z4392220,THREE,2129626032,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,42.4,90.1,90.1,162.2,162.2,,4/1/20,4/30/20,50,0,,2000,,SSLP1Z
MN,NON METRO,Freedom,20,69,25,AAFZGA4395221,THREE,2129626033,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,48.8,103.6,103.6,186.5,186.5,,5/1/20,5/31/20,50,0,,2000,,AAFZGA
MN,NON METRO,Freedom,70,100,25,SSLP1Z4395222,THREE,2129626033,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,42.4,90.1,90.1,162.2,162.2,,5/1/20,5/31/20,50,0,,2000,,SSLP1Z
MN,NON METRO,Freedom,20,69,25,AAFZGA4398323,THREE,2129626034,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,48.8,103.6,103.6,186.5,186.5,,6/1/20,6/30/20,50,0,,2000,,AAFZGA
MN,NON METRO,Freedom,70,100,25,SSLP1Z4398324,THREE,2129626034,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Non Metro ,42.4,90.1,90.1,162.2,162.2,,6/1/20,6/30/20,50,0,,2000,,SSLP1Z
MN,METRO,Freedom,20,69,25,051MD74383125,THREE,2129629575,Freedom Enhanced  w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Metro ,39.5,84.7,84.7,156.4,156.4,,1/1/20,1/31/20,50,0,,2000,,051MD7
MN,METRO,Freedom,70,100,25,OSTN2I4383126,THREE,2129629575,Freedom Enhanced  w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Metro ,34.3,73.7,73.7,136,136,,1/1/20,1/31/20,50,0,,2000,,OSTN2I
MN,METRO,Freedom,20,69,25,051MD74386227,THREE,2129629577,Freedom Enhanced w/Ortho $2000 $50/$150 Ded $1000 Max 3 Tier Metro ,39.5,84.7,84.7,156.4,156.4,,2/1/20,2/29/20,50,0,,2000,,051MD7
