Plan ID*,Rating Area ID*,Tobacco*,Age*,Individual Rate*,Tobacco Rate*
57129MN0220001,Rating Area 1,No Preference,0-14,252.16,
57129MN0220001,Rating Area 1,No Preference,15,252.16,
57129MN0220001,Rating Area 1,No Preference,16,252.16,
57129MN0220001,Rating Area 1,No Preference,17,252.16,
57129MN0220001,Rating Area 1,No Preference,18,252.16,
57129MN0220001,Rating Area 1,No Preference,19,252.16,
57129MN0220001,Rating Area 1,No Preference,20,252.16,
57129MN0220001,Rating Area 1,No Preference,21,283.32,
57129MN0220001,Rating Area 1,No Preference,22,283.32,
57129MN0220001,Rating Area 1,No Preference,23,283.32,
57129MN0220001,Rating Area 1,No Preference,24,283.32,
57129MN0220001,Rating Area 1,No Preference,25,284.46,
57129MN0220001,Rating Area 1,No Preference,26,290.12,
57129MN0220001,Rating Area 1,No Preference,27,296.92,
57129MN0220001,Rating Area 1,No Preference,28,307.97,
57129MN0220001,Rating Area 1,No Preference,29,317.04,
57129MN0220001,Rating Area 1,No Preference,30,321.57,
57129MN0220001,Rating Area 1,No Preference,31,328.37,
57129MN0220001,Rating Area 1,No Preference,32,335.17,
57129MN0220001,Rating Area 1,No Preference,33,339.42,
57129MN0220001,Rating Area 1,No Preference,34,343.95,
57129MN0220001,Rating Area 1,No Preference,35,346.22,
57129MN0220001,Rating Area 1,No Preference,36,348.49,
57129MN0220001,Rating Area 1,No Preference,37,350.75,
57129MN0220001,Rating Area 1,No Preference,38,353.02,
57129MN0220001,Rating Area 1,No Preference,39,357.55,
57129MN0220001,Rating Area 1,No Preference,40,362.09,
57129MN0220001,Rating Area 1,No Preference,41,368.89,
57129MN0220001,Rating Area 1,No Preference,42,375.4,
57129MN0220001,Rating Area 1,No Preference,43,384.47,
57129MN0220001,Rating Area 1,No Preference,44,395.8,
57129MN0220001,Rating Area 1,No Preference,45,409.12,
57129MN0220001,Rating Area 1,No Preference,46,424.98,
57129MN0220001,Rating Area 1,No Preference,47,442.83,
57129MN0220001,Rating Area 1,No Preference,48,463.23,
57129MN0220001,Rating Area 1,No Preference,49,483.35,
57129MN0220001,Rating Area 1,No Preference,50,506.02,
57129MN0220001,Rating Area 1,No Preference,51,528.4,
57129MN0220001,Rating Area 1,No Preference,52,553.05,
57129MN0220001,Rating Area 1,No Preference,53,577.98,
57129MN0220001,Rating Area 1,No Preference,54,604.9,
57129MN0220001,Rating Area 1,No Preference,55,631.81,
57129MN0220001,Rating Area 1,No Preference,56,660.99,
57129MN0220001,Rating Area 1,No Preference,57,690.46,
57129MN0220001,Rating Area 1,No Preference,58,721.91,
57129MN0220001,Rating Area 1,No Preference,59,737.49,
57129MN0220001,Rating Area 1,No Preference,60,768.94,
57129MN0220001,Rating Area 1,No Preference,61,796.14,
57129MN0220001,Rating Area 1,No Preference,62,813.99,
57129MN0220001,Rating Area 1,No Preference,63,836.37,
57129MN0220001,Rating Area 1,No Preference,64 and over,849.96,
57129MN0220001,Rating Area 2,No Preference,0-14,232.57,
57129MN0220001,Rating Area 2,No Preference,15,232.57,
57129MN0220001,Rating Area 2,No Preference,16,232.57,
57129MN0220001,Rating Area 2,No Preference,17,232.57,
57129MN0220001,Rating Area 2,No Preference,18,232.57,
57129MN0220001,Rating Area 2,No Preference,19,232.57,
57129MN0220001,Rating Area 2,No Preference,20,232.57,
57129MN0220001,Rating Area 2,No Preference,21,261.31,
57129MN0220001,Rating Area 2,No Preference,22,261.31,
57129MN0220001,Rating Area 2,No Preference,23,261.31,
57129MN0220001,Rating Area 2,No Preference,24,261.31,
57129MN0220001,Rating Area 2,No Preference,25,262.36,
57129MN0220001,Rating Area 2,No Preference,26,267.58,
57129MN0220001,Rating Area 2,No Preference,27,273.85,
57129MN0220001,Rating Area 2,No Preference,28,284.04,
57129MN0220001,Rating Area 2,No Preference,29,292.41,
57129MN0220001,Rating Area 2,No Preference,30,296.59,
57129MN0220001,Rating Area 2,No Preference,31,302.86,
57129MN0220001,Rating Area 2,No Preference,32,309.13,
57129MN0220001,Rating Area 2,No Preference,33,313.05,
57129MN0220001,Rating Area 2,No Preference,34,317.23,
57129MN0220001,Rating Area 2,No Preference,35,319.32,
57129MN0220001,Rating Area 2,No Preference,36,321.41,
57129MN0220001,Rating Area 2,No Preference,37,323.5,
57129MN0220001,Rating Area 2,No Preference,38,325.59,
57129MN0220001,Rating Area 2,No Preference,39,329.77,
57129MN0220001,Rating Area 2,No Preference,40,333.95,
57129MN0220001,Rating Area 2,No Preference,41,340.23,
57129MN0220001,Rating Area 2,No Preference,42,346.24,
57129MN0220001,Rating Area 2,No Preference,43,354.6,
57129MN0220001,Rating Area 2,No Preference,44,365.05,
57129MN0220001,Rating Area 2,No Preference,45,377.33,
57129MN0220001,Rating Area 2,No Preference,46,391.97,
57129MN0220001,Rating Area 2,No Preference,47,408.43,
57129MN0220001,Rating Area 2,No Preference,48,427.24,
57129MN0220001,Rating Area 2,No Preference,49,445.79,
57129MN0220001,Rating Area 2,No Preference,50,466.7,
57129MN0220001,Rating Area 2,No Preference,51,487.34,
57129MN0220001,Rating Area 2,No Preference,52,510.08,
57129MN0220001,Rating Area 2,No Preference,53,533.07,
57129MN0220001,Rating Area 2,No Preference,54,557.9,
57129MN0220001,Rating Area 2,No Preference,55,582.72,
57129MN0220001,Rating Area 2,No Preference,56,609.64,
57129MN0220001,Rating Area 2,No Preference,57,636.81,
57129MN0220001,Rating Area 2,No Preference,58,665.82,
57129MN0220001,Rating Area 2,No Preference,59,680.19,
57129MN0220001,Rating Area 2,No Preference,60,709.2,
57129MN0220001,Rating Area 2,No Preference,61,734.28,
57129MN0220001,Rating Area 2,No Preference,62,750.74,
57129MN0220001,Rating Area 2,No Preference,63,771.39,
57129MN0220001,Rating Area 2,No Preference,64 and over,783.93,
57129MN0220001,Rating Area 3,No Preference,0-14,228.42,
57129MN0220001,Rating Area 3,No Preference,15,228.42,
57129MN0220001,Rating Area 3,No Preference,16,228.42,
57129MN0220001,Rating Area 3,No Preference,17,228.42,
57129MN0220001,Rating Area 3,No Preference,18,228.42,
57129MN0220001,Rating Area 3,No Preference,19,228.42,
57129MN0220001,Rating Area 3,No Preference,20,228.42,
57129MN0220001,Rating Area 3,No Preference,21,256.65,
57129MN0220001,Rating Area 3,No Preference,22,256.65,
57129MN0220001,Rating Area 3,No Preference,23,256.65,
57129MN0220001,Rating Area 3,No Preference,24,256.65,
57129MN0220001,Rating Area 3,No Preference,25,257.67,
57129MN0220001,Rating Area 3,No Preference,26,262.81,
57129MN0220001,Rating Area 3,No Preference,27,268.97,
57129MN0220001,Rating Area 3,No Preference,28,278.98,
57129MN0220001,Rating Area 3,No Preference,29,287.19,
57129MN0220001,Rating Area 3,No Preference,30,291.3,
57129MN0220001,Rating Area 3,No Preference,31,297.46,
57129MN0220001,Rating Area 3,No Preference,32,303.62,
57129MN0220001,Rating Area 3,No Preference,33,307.46,
57129MN0220001,Rating Area 3,No Preference,34,311.57,
57129MN0220001,Rating Area 3,No Preference,35,313.62,
57129MN0220001,Rating Area 3,No Preference,36,315.68,
57129MN0220001,Rating Area 3,No Preference,37,317.73,
57129MN0220001,Rating Area 3,No Preference,38,319.78,
57129MN0220001,Rating Area 3,No Preference,39,323.89,
57129MN0220001,Rating Area 3,No Preference,40,328,
57129MN0220001,Rating Area 3,No Preference,41,334.16,
57129MN0220001,Rating Area 3,No Preference,42,340.06,
57129MN0220001,Rating Area 3,No Preference,43,348.27,
57129MN0220001,Rating Area 3,No Preference,44,358.54,
57129MN0220001,Rating Area 3,No Preference,45,370.6,
57129MN0220001,Rating Area 3,No Preference,46,384.97,
57129MN0220001,Rating Area 3,No Preference,47,401.14,
57129MN0220001,Rating Area 3,No Preference,48,419.62,
57129MN0220001,Rating Area 3,No Preference,49,437.84,
57129MN0220001,Rating Area 3,No Preference,50,458.37,
57129MN0220001,Rating Area 3,No Preference,51,478.65,
57129MN0220001,Rating Area 3,No Preference,52,500.98,
57129MN0220001,Rating Area 3,No Preference,53,523.56,
57129MN0220001,Rating Area 3,No Preference,54,547.94,
57129MN0220001,Rating Area 3,No Preference,55,572.33,
57129MN0220001,Rating Area 3,No Preference,56,598.76,
57129MN0220001,Rating Area 3,No Preference,57,625.45,
57129MN0220001,Rating Area 3,No Preference,58,653.94,
57129MN0220001,Rating Area 3,No Preference,59,668.06,
57129MN0220001,Rating Area 3,No Preference,60,696.54,
57129MN0220001,Rating Area 3,No Preference,61,721.18,
57129MN0220001,Rating Area 3,No Preference,62,737.35,
57129MN0220001,Rating Area 3,No Preference,63,757.63,
57129MN0220001,Rating Area 3,No Preference,64 and over,769.95,
57129MN0220001,Rating Area 4,No Preference,0-14,248.7,
57129MN0220001,Rating Area 4,No Preference,15,248.7,
57129MN0220001,Rating Area 4,No Preference,16,248.7,
57129MN0220001,Rating Area 4,No Preference,17,248.7,
57129MN0220001,Rating Area 4,No Preference,18,248.7,
