Plan ID*,Rating Area ID*,Tobacco*,Age*,Individual Rate*,Tobacco Rate*
57129MN0220001,Rating Area 1,No Preference,0-14,275.18,
57129MN0220001,Rating Area 1,No Preference,15,275.18,
57129MN0220001,Rating Area 1,No Preference,16,275.18,
57129MN0220001,Rating Area 1,No Preference,17,275.18,
57129MN0220001,Rating Area 1,No Preference,18,275.18,
57129MN0220001,Rating Area 1,No Preference,19,275.18,
57129MN0220001,Rating Area 1,No Preference,20,275.18,
57129MN0220001,Rating Area 1,No Preference,21,309.19,
57129MN0220001,Rating Area 1,No Preference,22,309.19,
57129MN0220001,Rating Area 1,No Preference,23,309.19,
57129MN0220001,Rating Area 1,No Preference,24,309.19,
57129MN0220001,Rating Area 1,No Preference,25,310.43,
57129MN0220001,Rating Area 1,No Preference,26,316.61,
57129MN0220001,Rating Area 1,No Preference,27,324.03,
57129MN0220001,Rating Area 1,No Preference,28,336.09,
57129MN0220001,Rating Area 1,No Preference,29,345.98,
57129MN0220001,Rating Area 1,No Preference,30,350.93,
57129MN0220001,Rating Area 1,No Preference,31,358.35,
57129MN0220001,Rating Area 1,No Preference,32,365.77,
57129MN0220001,Rating Area 1,No Preference,33,370.41,
57129MN0220001,Rating Area 1,No Preference,34,375.36,
57129MN0220001,Rating Area 1,No Preference,35,377.83,
57129MN0220001,Rating Area 1,No Preference,36,380.3,
57129MN0220001,Rating Area 1,No Preference,37,382.78,
57129MN0220001,Rating Area 1,No Preference,38,385.25,
57129MN0220001,Rating Area 1,No Preference,39,390.2,
57129MN0220001,Rating Area 1,No Preference,40,395.14,
57129MN0220001,Rating Area 1,No Preference,41,402.56,
57129MN0220001,Rating Area 1,No Preference,42,409.68,
57129MN0220001,Rating Area 1,No Preference,43,419.57,
57129MN0220001,Rating Area 1,No Preference,44,431.94,
57129MN0220001,Rating Area 1,No Preference,45,446.47,
57129MN0220001,Rating Area 1,No Preference,46,463.78,
57129MN0220001,Rating Area 1,No Preference,47,483.26,
57129MN0220001,Rating Area 1,No Preference,48,505.52,
57129MN0220001,Rating Area 1,No Preference,49,527.48,
57129MN0220001,Rating Area 1,No Preference,50,552.21,
57129MN0220001,Rating Area 1,No Preference,51,576.64,
57129MN0220001,Rating Area 1,No Preference,52,603.54,
57129MN0220001,Rating Area 1,No Preference,53,630.75,
57129MN0220001,Rating Area 1,No Preference,54,660.12,
57129MN0220001,Rating Area 1,No Preference,55,689.49,
57129MN0220001,Rating Area 1,No Preference,56,721.34,
57129MN0220001,Rating Area 1,No Preference,57,753.49,
57129MN0220001,Rating Area 1,No Preference,58,787.81,
57129MN0220001,Rating Area 1,No Preference,59,804.82,
57129MN0220001,Rating Area 1,No Preference,60,839.14,
57129MN0220001,Rating Area 1,No Preference,61,868.82,
57129MN0220001,Rating Area 1,No Preference,62,888.3,
57129MN0220001,Rating Area 1,No Preference,63,912.73,
57129MN0220001,Rating Area 1,No Preference,64 and over,927.57,
57129MN0220001,Rating Area 2,No Preference,0-14,256.99,
57129MN0220001,Rating Area 2,No Preference,15,256.99,
57129MN0220001,Rating Area 2,No Preference,16,256.99,
57129MN0220001,Rating Area 2,No Preference,17,256.99,
57129MN0220001,Rating Area 2,No Preference,18,256.99,
57129MN0220001,Rating Area 2,No Preference,19,256.99,
57129MN0220001,Rating Area 2,No Preference,20,256.99,
57129MN0220001,Rating Area 2,No Preference,21,288.75,
57129MN0220001,Rating Area 2,No Preference,22,288.75,
57129MN0220001,Rating Area 2,No Preference,23,288.75,
57129MN0220001,Rating Area 2,No Preference,24,288.75,
57129MN0220001,Rating Area 2,No Preference,25,289.9,
57129MN0220001,Rating Area 2,No Preference,26,295.68,
57129MN0220001,Rating Area 2,No Preference,27,302.61,
57129MN0220001,Rating Area 2,No Preference,28,313.87,
57129MN0220001,Rating Area 2,No Preference,29,323.11,
57129MN0220001,Rating Area 2,No Preference,30,327.73,
57129MN0220001,Rating Area 2,No Preference,31,334.66,
57129MN0220001,Rating Area 2,No Preference,32,341.59,
57129MN0220001,Rating Area 2,No Preference,33,345.92,
57129MN0220001,Rating Area 2,No Preference,34,350.54,
57129MN0220001,Rating Area 2,No Preference,35,352.85,
57129MN0220001,Rating Area 2,No Preference,36,355.16,
57129MN0220001,Rating Area 2,No Preference,37,357.47,
57129MN0220001,Rating Area 2,No Preference,38,359.78,
57129MN0220001,Rating Area 2,No Preference,39,364.4,
57129MN0220001,Rating Area 2,No Preference,40,369.02,
57129MN0220001,Rating Area 2,No Preference,41,375.95,
57129MN0220001,Rating Area 2,No Preference,42,382.59,
57129MN0220001,Rating Area 2,No Preference,43,391.83,
57129MN0220001,Rating Area 2,No Preference,44,403.38,
57129MN0220001,Rating Area 2,No Preference,45,416.95,
57129MN0220001,Rating Area 2,No Preference,46,433.12,
57129MN0220001,Rating Area 2,No Preference,47,451.32,
57129MN0220001,Rating Area 2,No Preference,48,472.11,
57129MN0220001,Rating Area 2,No Preference,49,492.61,
57129MN0220001,Rating Area 2,No Preference,50,515.71,
57129MN0220001,Rating Area 2,No Preference,51,538.52,
57129MN0220001,Rating Area 2,No Preference,52,563.64,
57129MN0220001,Rating Area 2,No Preference,53,589.05,
57129MN0220001,Rating Area 2,No Preference,54,616.48,
57129MN0220001,Rating Area 2,No Preference,55,643.91,
57129MN0220001,Rating Area 2,No Preference,56,673.65,
57129MN0220001,Rating Area 2,No Preference,57,703.68,
57129MN0220001,Rating Area 2,No Preference,58,735.73,
57129MN0220001,Rating Area 2,No Preference,59,751.61,
57129MN0220001,Rating Area 2,No Preference,60,783.67,
57129MN0220001,Rating Area 2,No Preference,61,811.39,
57129MN0220001,Rating Area 2,No Preference,62,829.58,
57129MN0220001,Rating Area 2,No Preference,63,852.39,
57129MN0220001,Rating Area 2,No Preference,64 and over,866.25,
57129MN0220001,Rating Area 3,No Preference,0-14,239.82,
57129MN0220001,Rating Area 3,No Preference,15,239.82,
57129MN0220001,Rating Area 3,No Preference,16,239.82,
57129MN0220001,Rating Area 3,No Preference,17,239.82,
57129MN0220001,Rating Area 3,No Preference,18,239.82,
57129MN0220001,Rating Area 3,No Preference,19,239.82,
57129MN0220001,Rating Area 3,No Preference,20,239.82,
57129MN0220001,Rating Area 3,No Preference,21,269.46,
57129MN0220001,Rating Area 3,No Preference,22,269.46,
57129MN0220001,Rating Area 3,No Preference,23,269.46,
57129MN0220001,Rating Area 3,No Preference,24,269.46,
57129MN0220001,Rating Area 3,No Preference,25,270.54,
57129MN0220001,Rating Area 3,No Preference,26,275.93,
57129MN0220001,Rating Area 3,No Preference,27,282.4,
57129MN0220001,Rating Area 3,No Preference,28,292.9,
57129MN0220001,Rating Area 3,No Preference,29,301.53,
57129MN0220001,Rating Area 3,No Preference,30,305.84,
57129MN0220001,Rating Area 3,No Preference,31,312.31,
57129MN0220001,Rating Area 3,No Preference,32,318.77,
57129MN0220001,Rating Area 3,No Preference,33,322.81,
57129MN0220001,Rating Area 3,No Preference,34,327.13,
57129MN0220001,Rating Area 3,No Preference,35,329.28,
57129MN0220001,Rating Area 3,No Preference,36,331.44,
57129MN0220001,Rating Area 3,No Preference,37,333.59,
57129MN0220001,Rating Area 3,No Preference,38,335.75,
57129MN0220001,Rating Area 3,No Preference,39,340.06,
