Previous HIOS PlanID,Reason for Crosswalk,New HIOS PlanID
57129MN0220001,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220001
57129MN0220002,Renewing product; renewal in a different plan within the product,57129MN0220001
57129MN0220003,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220003
57129MN0220004,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220004
57129MN0220005,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220005
57129MN0220006,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220006
57129MN0220007,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220007
57129MN0220008,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220008
57129MN0220009,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220009
57129MN0220010,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220010
57129MN0220011,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220011
57129MN0220012,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220012
57129MN0220013,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220013
57129MN0220014,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220014
57129MN0220015,Renewing exact same product/plan combination (Same 2019 Plan ID),57129MN0220015
57129MN0180002,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180003,Discontinuing product; enrollment into a different product,57129MN0220003
57129MN0180004,Discontinuing product; enrollment into a different product,57129MN0220004
57129MN0180006,Discontinuing product; enrollment into a different product,57129MN0220005
57129MN0180007,Discontinuing product; enrollment into a different product,57129MN0220015
57129MN0180015,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180016,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180017,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180018,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180019,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180020,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180021,Discontinuing product; enrollment into a different product,57129MN0220003
57129MN0180022,Discontinuing product; enrollment into a different product,57129MN0220003
57129MN0180023,Discontinuing product; enrollment into a different product,57129MN0220003
57129MN0180024,Discontinuing product; enrollment into a different product,57129MN0220003
57129MN0180025,Discontinuing product; enrollment into a different product,57129MN0220003
57129MN0180026,Discontinuing product; enrollment into a different product,57129MN0220003
57129MN0180027,Discontinuing product; enrollment into a different product,57129MN0220004
57129MN0180028,Discontinuing product; enrollment into a different product,57129MN0220004
57129MN0180029,Discontinuing product; enrollment into a different product,57129MN0220004
57129MN0180030,Discontinuing product; enrollment into a different product,57129MN0220004
57129MN0180031,Discontinuing product; enrollment into a different product,57129MN0220004
57129MN0180032,Discontinuing product; enrollment into a different product,57129MN0220004
57129MN0180039,Discontinuing product; enrollment into a different product,57129MN0220005
57129MN0180040,Discontinuing product; enrollment into a different product,57129MN0220005
57129MN0180041,Discontinuing product; enrollment into a different product,57129MN0220005
57129MN0180042,Discontinuing product; enrollment into a different product,57129MN0220005
57129MN0180043,Discontinuing product; enrollment into a different product,57129MN0220005
57129MN0180044,Discontinuing product; enrollment into a different product,57129MN0220005
57129MN0180045,Discontinuing product; enrollment into a different product,57129MN0220015
57129MN0180046,Discontinuing product; enrollment into a different product,57129MN0220015
57129MN0180047,Discontinuing product; enrollment into a different product,57129MN0220015
57129MN0180048,Discontinuing product; enrollment into a different product,57129MN0220015
57129MN0180049,Discontinuing product; enrollment into a different product,57129MN0220015
57129MN0180050,Discontinuing product; enrollment into a different product,57129MN0220015
57129MN0180057,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180058,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180059,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180060,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180061,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180062,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180063,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180064,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180065,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180066,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180067,Discontinuing product; enrollment into a different product,57129MN0220001
57129MN0180068,Discontinuing product; enrollment into a different product,57129MN0220003
57129MN0180069,Discontinuing product; enrollment into a different product,57129MN0220003
57129MN0180070,Discontinuing product; enrollment into a different product,57129MN0220004
57129MN0180071,Discontinuing product; enrollment into a different product,57129MN0220004
57129MN0180072,Discontinuing product; enrollment into a different product,57129MN0220005
57129MN0180073,Discontinuing product; enrollment into a different product,57129MN0220005
57129MN0180074,Discontinuing product; enrollment into a different product,57129MN0220015
57129MN0180075,Discontinuing product; enrollment into a different product,57129MN0220015
57129MN0180076,Discontinuing product; enrollment into a different product,57129MN0220006
57129MN0180077,Discontinuing product; enrollment into a different product,57129MN0220006
57129MN0180078,Discontinuing product; enrollment into a different product,57129MN0220006
57129MN0180079,Discontinuing product; enrollment into a different product,57129MN0220006
57129MN0180080,Discontinuing product; enrollment into a different product,57129MN0220006
57129MN0180081,Discontinuing product; enrollment into a different product,57129MN0220006
57129MN0180082,Discontinuing product; enrollment into a different product,57129MN0220006
57129MN0180083,Discontinuing product; enrollment into a different product,57129MN0220006
57129MN0180084,Discontinuing product; enrollment into a different product,57129MN0220006
57129MN0180085,Discontinuing product; enrollment into a different product,57129MN0220007
57129MN0180086,Discontinuing product; enrollment into a different product,57129MN0220007
57129MN0180087,Discontinuing product; enrollment into a different product,57129MN0220007
57129MN0180088,Discontinuing product; enrollment into a different product,57129MN0220007
57129MN0180089,Discontinuing product; enrollment into a different product,57129MN0220007
57129MN0180090,Discontinuing product; enrollment into a different product,57129MN0220007
57129MN0180091,Discontinuing product; enrollment into a different product,57129MN0220007
57129MN0180092,Discontinuing product; enrollment into a different product,57129MN0220007
57129MN0180093,Discontinuing product; enrollment into a different product,57129MN0220007
57129MN0180094,Discontinuing product; enrollment into a different product,57129MN0220008
57129MN0180095,Discontinuing product; enrollment into a different product,57129MN0220008
57129MN0180096,Discontinuing product; enrollment into a different product,57129MN0220008
57129MN0180097,Discontinuing product; enrollment into a different product,57129MN0220008
57129MN0180098,Discontinuing product; enrollment into a different product,57129MN0220008
57129MN0180099,Discontinuing product; enrollment into a different product,57129MN0220008
57129MN0180100,Discontinuing product; enrollment into a different product,57129MN0220008
57129MN0180101,Discontinuing product; enrollment into a different product,57129MN0220008
57129MN0180102,Discontinuing product; enrollment into a different product,57129MN0220008
57129MN0180103,Discontinuing product; enrollment into a different product,57129MN0220009
57129MN0180104,Discontinuing product; enrollment into a different product,57129MN0220009
57129MN0180105,Discontinuing product; enrollment into a different product,57129MN0220009
57129MN0180106,Discontinuing product; enrollment into a different product,57129MN0220009
57129MN0180107,Discontinuing product; enrollment into a different product,57129MN0220009
57129MN0180108,Discontinuing product; enrollment into a different product,57129MN0220009
57129MN0180109,Discontinuing product; enrollment into a different product,57129MN0220009
57129MN0180110,Discontinuing product; enrollment into a different product,57129MN0220009
57129MN0180111,Discontinuing product; enrollment into a different product,57129MN0220009
57129MN0180112,Discontinuing product; enrollment into a different product,57129MN0220010
57129MN0180113,Discontinuing product; enrollment into a different product,57129MN0220010
57129MN0180114,Discontinuing product; enrollment into a different product,57129MN0220010
57129MN0180115,Discontinuing product; enrollment into a different product,57129MN0220010
57129MN0180116,Discontinuing product; enrollment into a different product,57129MN0220010
57129MN0180117,Discontinuing product; enrollment into a different product,57129MN0220010
57129MN0180118,Discontinuing product; enrollment into a different product,57129MN0220010
57129MN0180119,Discontinuing product; enrollment into a different product,57129MN0220010
57129MN0180120,Discontinuing product; enrollment into a different product,57129MN0220010
