Contract Start Date,Contract End Date,Super Product ID,ACK Code,Subscriber,Sub-Spouse,Sub-Children,Sub-Child,Family,Plan Name
1/1/17,12/31/17,2104736531,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
2/1/17,1/31/18,2104736532,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
3/1/17,2/28/18,2104736533,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
4/1/17,3/31/18,2104736534,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
5/1/17,4/30/18,2104736550,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
6/1/17,5/31/18,2104736551,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
7/1/17,6/30/18,2104736552,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
8/1/17,7/31/18,2104736553,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
9/1/17,8/31/18,2104736554,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
10/1/17,9/30/18,2104736555,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
11/1/17,10/31/18,2104736558,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
12/1/17,11/30/18,2104736561,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
1/1/17,12/31/17,2104736870,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
2/1/17,1/31/18,2104736871,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
3/1/17,2/28/18,2104736872,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
4/1/17,3/31/18,2104736873,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
5/1/17,4/30/18,2104736874,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
6/1/17,5/31/18,2104736875,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
7/1/17,6/30/18,2104736876,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
8/1/17,7/31/18,2104736877,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
9/1/17,8/31/18,2104736878,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
10/1/17,9/30/18,2104736879,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
11/1/17,10/31/18,2104736880,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
12/1/17,11/30/18,2104736881,14BC02,6.4,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
1/1/17,12/31/17,2104720439,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
2/1/17,1/31/18,2104720443,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
3/1/17,2/28/18,2104720444,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
4/1/17,3/31/18,2104720446,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
5/1/17,4/30/18,2104720447,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
6/1/17,5/31/18,2104720448,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
7/1/17,6/30/18,2104720449,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
8/1/17,7/31/18,2104720452,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
9/1/17,8/31/18,2104720454,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
10/1/17,9/30/18,2104720455,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
11/1/17,10/31/18,2104720456,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
12/1/17,11/30/18,2104720457,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
1/1/17,12/31/17,2104721027,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
2/1/17,1/31/18,2104721028,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
3/1/17,2/28/18,2104721029,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
4/1/17,3/31/18,2104721030,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
5/1/17,4/30/18,2104721031,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
6/1/17,5/31/18,2104721033,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
7/1/17,6/30/18,2104721035,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
8/1/17,7/31/18,2104721041,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
9/1/17,8/31/18,2104721042,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
10/1/17,9/30/18,2104721043,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
11/1/17,10/31/18,2104721044,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
12/1/17,11/30/18,2104721045,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
