Plan ID*,Rating Area ID*,Tobacco*,Age*,Individual Rate*,Tobacco Rate*
49316MN1070001,Rating Area 1,No Preference,0-20,230.92,
49316MN1070001,Rating Area 1,No Preference,21,259.46,
49316MN1070001,Rating Area 1,No Preference,22,259.46,
49316MN1070001,Rating Area 1,No Preference,23,259.46,
49316MN1070001,Rating Area 1,No Preference,24,259.46,
49316MN1070001,Rating Area 1,No Preference,25,260.49,
49316MN1070001,Rating Area 1,No Preference,26,265.68,
49316MN1070001,Rating Area 1,No Preference,27,271.91,
49316MN1070001,Rating Area 1,No Preference,28,282.03,
49316MN1070001,Rating Area 1,No Preference,29,290.33,
49316MN1070001,Rating Area 1,No Preference,30,294.48,
49316MN1070001,Rating Area 1,No Preference,31,300.71,
49316MN1070001,Rating Area 1,No Preference,32,306.94,
49316MN1070001,Rating Area 1,No Preference,33,310.83,
49316MN1070001,Rating Area 1,No Preference,34,314.98,
49316MN1070001,Rating Area 1,No Preference,35,317.06,
49316MN1070001,Rating Area 1,No Preference,36,319.13,
49316MN1070001,Rating Area 1,No Preference,37,321.21,
49316MN1070001,Rating Area 1,No Preference,38,323.28,
49316MN1070001,Rating Area 1,No Preference,39,327.43,
49316MN1070001,Rating Area 1,No Preference,40,331.58,
49316MN1070001,Rating Area 1,No Preference,41,337.81,
49316MN1070001,Rating Area 1,No Preference,42,343.78,
49316MN1070001,Rating Area 1,No Preference,43,352.08,
49316MN1070001,Rating Area 1,No Preference,44,362.46,
49316MN1070001,Rating Area 1,No Preference,45,374.65,
49316MN1070001,Rating Area 1,No Preference,46,389.18,
49316MN1070001,Rating Area 1,No Preference,47,405.53,
49316MN1070001,Rating Area 1,No Preference,48,424.21,
49316MN1070001,Rating Area 1,No Preference,49,442.63,
49316MN1070001,Rating Area 1,No Preference,50,463.39,
49316MN1070001,Rating Area 1,No Preference,51,483.89,
49316MN1070001,Rating Area 1,No Preference,52,506.46,
49316MN1070001,Rating Area 1,No Preference,53,529.29,
49316MN1070001,Rating Area 1,No Preference,54,553.94,
49316MN1070001,Rating Area 1,No Preference,55,578.59,
49316MN1070001,Rating Area 1,No Preference,56,605.31,
49316MN1070001,Rating Area 1,No Preference,57,632.29,
49316MN1070001,Rating Area 1,No Preference,58,661.09,
49316MN1070001,Rating Area 1,No Preference,59,675.36,
49316MN1070001,Rating Area 1,No Preference,60,704.16,
49316MN1070001,Rating Area 1,No Preference,61,729.07,
49316MN1070001,Rating Area 1,No Preference,62,745.42,
49316MN1070001,Rating Area 1,No Preference,63,765.91,
49316MN1070001,Rating Area 1,No Preference,64,778.38,
49316MN1070001,Rating Area 1,No Preference,65 and over,778.38,
49316MN1070001,Rating Area 2,No Preference,0-20,201.93,
49316MN1070001,Rating Area 2,No Preference,21,226.89,
49316MN1070001,Rating Area 2,No Preference,22,226.89,
49316MN1070001,Rating Area 2,No Preference,23,226.89,
49316MN1070001,Rating Area 2,No Preference,24,226.89,
49316MN1070001,Rating Area 2,No Preference,25,227.8,
49316MN1070001,Rating Area 2,No Preference,26,232.34,
49316MN1070001,Rating Area 2,No Preference,27,237.78,
49316MN1070001,Rating Area 2,No Preference,28,246.63,
49316MN1070001,Rating Area 2,No Preference,29,253.89,
49316MN1070001,Rating Area 2,No Preference,30,257.52,
49316MN1070001,Rating Area 2,No Preference,31,262.97,
49316MN1070001,Rating Area 2,No Preference,32,268.41,
49316MN1070001,Rating Area 2,No Preference,33,271.82,
49316MN1070001,Rating Area 2,No Preference,34,275.45,
49316MN1070001,Rating Area 2,No Preference,35,277.26,
49316MN1070001,Rating Area 2,No Preference,36,279.08,
49316MN1070001,Rating Area 2,No Preference,37,280.89,
49316MN1070001,Rating Area 2,No Preference,38,282.71,
49316MN1070001,Rating Area 2,No Preference,39,286.34,
49316MN1070001,Rating Area 2,No Preference,40,289.97,
49316MN1070001,Rating Area 2,No Preference,41,295.41,
49316MN1070001,Rating Area 2,No Preference,42,300.63,
49316MN1070001,Rating Area 2,No Preference,43,307.89,
49316MN1070001,Rating Area 2,No Preference,44,316.97,
49316MN1070001,Rating Area 2,No Preference,45,327.63,
49316MN1070001,Rating Area 2,No Preference,46,340.34,
49316MN1070001,Rating Area 2,No Preference,47,354.63,
49316MN1070001,Rating Area 2,No Preference,48,370.97,
49316MN1070001,Rating Area 2,No Preference,49,387.08,
49316MN1070001,Rating Area 2,No Preference,50,405.23,
49316MN1070001,Rating Area 2,No Preference,51,423.16,
49316MN1070001,Rating Area 2,No Preference,52,442.89,
49316MN1070001,Rating Area 2,No Preference,53,462.86,
49316MN1070001,Rating Area 2,No Preference,54,484.42,
49316MN1070001,Rating Area 2,No Preference,55,505.97,
49316MN1070001,Rating Area 2,No Preference,56,529.34,
