Service Area ID*,Service Area Name*,State*,County Name,Partial County,Service Area Zip Codes
MNS007,GVN Service Area 7,No,Aitkin,No,
MNS008,GVN Service Area 8,No,Anoka,No,
MNS006,GVN Service Area 6,No,Becker,No,
MNS007,GVN Service Area 7,No,Beltrami,No,
MNS008,GVN Service Area 8,No,Benton,No,
MNS005,GVN Service Area 5,No,Big Stone,No,
MNS003,GVN Service Area 3,No,Blue Earth,No,
MNS004,GVN Service Area 4,No,Brown,No,
MNS002,GVN Service Area 2,No,Carlton,No,
MNS008,GVN Service Area 8,No,Carver,No,
MNS007,GVN Service Area 7,No,Cass,No,
MNS005,GVN Service Area 5,No,Chippewa,No,
MNS007,GVN Service Area 7,No,Chisago,No,
MNS006,GVN Service Area 6,No,Clay,No,
MNS009,GVN Service Area 9,No,Clearwater,No,
MNS002,GVN Service Area 2,No,Cook,No,
MNS004,GVN Service Area 4,No,Cottonwood,No,
MNS007,GVN Service Area 7,No,Crow Wing,No,
MNS008,GVN Service Area 8,No,Dakota,No,
MNS001,GVN Service Area 1,No,Dodge,No,
MNS006,GVN Service Area 6,No,Douglas,No,
MNS003,GVN Service Area 3,No,Faribault,No,
MNS001,GVN Service Area 1,No,Fillmore,No,
MNS001,GVN Service Area 1,No,Freeborn,No,
MNS001,GVN Service Area 1,No,Goodhue,Yes,"55009,55027"
MNS006,GVN Service Area 6,No,Grant,No,
MNS008,GVN Service Area 8,No,Hennepin,No,
MNS001,GVN Service Area 1,No,Houston,No,
MNS007,GVN Service Area 7,No,Hubbard,No,
MNS007,GVN Service Area 7,No,Isanti,No,
MNS002,GVN Service Area 2,No,Itasca,No,
MNS004,GVN Service Area 4,No,Jackson,No,
MNS007,GVN Service Area 7,No,Kanabec,No,
MNS005,GVN Service Area 5,No,Kandiyohi,No,
MNS009,GVN Service Area 9,No,Kittson,No,
MNS002,GVN Service Area 2,No,Koochiching,No,
MNS005,GVN Service Area 5,No,Lac Qui Parle,No,
MNS002,GVN Service Area 2,No,Lake,No,
MNS002,GVN Service Area 2,No,Lake Of The Woods,No,
MNS003,GVN Service Area 3,No,Le Sueur,No,
MNS004,GVN Service Area 4,No,Lincoln,No,
MNS005,GVN Service Area 5,No,Lyon,No,
MNS009,GVN Service Area 9,No,Mahnomen,No,
MNS009,GVN Service Area 9,No,Marshall,No,
MNS003,GVN Service Area 3,No,Martin,No,
MNS005,GVN Service Area 5,No,Mcleod,No,
MNS005,GVN Service Area 5,No,Meeker,No,
MNS007,GVN Service Area 7,No,Mille Lacs,No,
MNS007,GVN Service Area 7,No,Morrison,No,
MNS001,GVN Service Area 1,No,Mower,No,
MNS004,GVN Service Area 4,No,Murray,No,
MNS003,GVN Service Area 3,No,Nicollet,No,
MNS004,GVN Service Area 4,No,Nobles,No,
MNS009,GVN Service Area 9,No,Norman,No,
MNS001,GVN Service Area 1,No,Olmsted,No,
MNS006,GVN Service Area 6,No,Otter Tail,No,
MNS009,GVN Service Area 9,No,Pennington,No,
MNS007,GVN Service Area 7,No,Pine,No,
MNS004,GVN Service Area 4,No,Pipestone,No,
MNS009,GVN Service Area 9,No,Polk,No,
MNS006,GVN Service Area 6,No,Pope,No,
MNS008,GVN Service Area 8,No,Ramsey,No,
MNS009,GVN Service Area 9,No,Red Lake,No,
MNS004,GVN Service Area 4,No,Redwood,No,
MNS005,GVN Service Area 5,No,Renville,No,
MNS003,GVN Service Area 3,No,Rice,No,
MNS004,GVN Service Area 4,No,Rock,No,
MNS007,GVN Service Area 7,No,Roseau,No,
MNS002,GVN Service Area 2,No,Saint Louis,No,
MNS008,GVN Service Area 8,No,Scott,No,
MNS008,GVN Service Area 8,No,Sherburne,No,
MNS005,GVN Service Area 5,No,Sibley,No,
MNS008,GVN Service Area 8,No,Stearns,No,
MNS001,GVN Service Area 1,No,Steele,No,
MNS006,GVN Service Area 6,No,Stevens,No,
MNS005,GVN Service Area 5,No,Swift,No,
MNS007,GVN Service Area 7,No,Todd,No,
MNS006,GVN Service Area 6,No,Traverse,No,
MNS001,GVN Service Area 1,No,Wabasha,Yes,"27157,27169"
MNS007,GVN Service Area 7,No,Wadena,No,
MNS003,GVN Service Area 3,No,Waseca,No,
MNS008,GVN Service Area 8,No,Washington,No,
MNS003,GVN Service Area 3,No,Watonwan,No,
MNS006,GVN Service Area 6,No,Wilkin,No,
MNS001,GVN Service Area 1,No,Winona,No,
MNS008,GVN Service Area 8,No,Wright,No,
MNS005,GVN Service Area 5,No,Yellow Medicine,No,
MNS010,HVN Service Area,Yes,,,
