client_number,client_name,plan_id,group_number,dental,renewal,Rnw_Single,Rnw_TwoParty,Rnw_Family,Rnw_PChild,Rnw_PChildren
201595,"YAEGER BUS SERVICE, INC",2103594250,10341193,Dental,1/1/19,39.43,73.25,116.71,73.25,116.71
201686,NORTHRIDGE COMMUNITY CREDIT UNION,2103698340,10343355,Dental,1/1/19,42.19,78.33,124.87,78.33,124.87
201731,"Matonich Law, P.C.",2103594106,10308326,Dental,1/1/19,42.55,84.44,128.98,77.17,77.17
202126,NORTHERN FARMERS COOPERATIVE EXCHANGE,2103698274,10342100,Dental,1/1/19,36.99,68.58,109.29,68.58,109.29
202203,ENDODONTIC ASSOCIATES LIMITED,#N/A,10400599,Dental,1/1/19,41.87,77.59,123.70,77.59,123.70
203033,IMTRON CORPORATION,2129770467,10410204,Dental,1/1/19,37.75,69.99,111.59,69.99,111.59
203181,TWIN CITIES DIGITAL INC,2103594106,10304828,Dental,1/1/19,48.95,97.12,148.27,88.74,88.74
203264,GERRY'S FIRE & SAFETY,2103594266,10344680,Dental,1/1/19,37.74,69.96,111.51,69.96,111.51
203308,"HUDSON ROAD ANIMAL HOSPITAL, PA",2103685737,10342306,Dental,1/1/19,34.56,67.73,122.64,67.73,122.64
203482,PSYBAR LLC,2103594266,10370495,Dental,1/1/19,37.74,69.96,111.51,69.96,111.51
203656,C E L PUBLIC RELATIONS,2103594195,10341855,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
203726,LEARNERS EDGE LLC,2103688547,10333521,Dental,1/1/19,36.36,71.02,127.94,71.02,127.94
203978,NOVUS ENERGY LLC,2103594247,10295228,Dental,1/1/19,36.67,68.04,108.48,68.04,108.48
204256,ABBA COMPLETE PEST CONTROL LLC,2103594195,10344880,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
204525,RIVERS EDGE INSURANCE AGENCY,2103698340,10337250,Dental,1/1/19,42.19,78.33,124.87,78.33,124.87
204552,SOUTHWEST MINNESOTA BROADBAND SERVICES,2103594269,10338119,Dental,1/1/19,41.34,76.74,122.43,76.74,122.43
204628,RENT TRACK LLC,2129753776,10340703,Dental,1/1/19,36.36,69.85,120.95,69.85,120.95
204873,CITYWIDE FINANCE COMPANY INC,2103594148,10307067,Dental,1/1/19,43.87,81.36,129.64,81.36,129.64
204931,DR GRAPHICS LLC DBA MINUTEMAN PRESS,2103594195,10337905,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
205045,MONEYGEEKS FINANCIAL NETWORD INC,2103594195,10338253,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
205086,EMBOMEDICS INC,2103594148,10344216,Dental,1/1/19,36.68,68.05,108.44,68.05,108.44
205233,SIEWERT CONSTRUCTION CO INC,2103594195,10306230,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
205290,AGGIE FARMS PARTNERSHIP,2103698340,10329438,Dental,1/1/19,42.19,78.33,124.87,78.33,124.87
205294,WADENA AGENCY INC,2103594250,10294041,Dental,1/1/19,41.01,76.17,121.37,76.17,121.37
205300,TWIN TOWN LLC DBA TWIN TOWN FITNESS,2103594266,10326025,Dental,1/1/19,39.24,72.76,115.97,72.76,115.97
205337,ROGNESS AND FIELD PA,2103594266,10336268,Dental,1/1/19,43.35,80.35,128.15,80.35,128.15
205986,MINDSET CONSULTING LLC,2103594083,10309400,Dental,1/1/19,37.48,74.31,113.44,67.90,67.90
228910,Aitkin Body Shop Inc,2129755151,10411604,Dental,1/1/19,46.32,85.86,136.95,85.86,136.95
232135,Hanelinus Inc,2103594148,10344152,Dental,1/1/19,36.68,68.05,108.44,68.05,108.44
232543,"Optometric Vision Services, P.A.",2103594266,10332329,Dental,1/1/19,37.74,69.96,111.51,69.96,111.51
233078,Kittok Sales Inc,2103594148,10298810,Dental,1/1/19,38.14,70.78,112.77,70.78,112.77
233082,Cornerstone Investors LLC,2103594195,10298813,Dental,1/1/19,40.02,74.19,118.29,74.19,118.29
233104,KP Management LLC,2103594195,10298859,Dental,1/1/19,40.02,74.52,118.29,74.52,118.29
233542,City of Edgerton,2103594250,10299743,Dental,1/1/19,37.38,69.35,110.57,69.35,110.57
233683,Taylor Electric Company,2103594148,10307618,Dental,1/1/19,38.14,70.78,112.77,70.78,112.77
234218,Minnesota HealthSolutions Corporation,2103594195,10339559,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
234225,"Pilcrow Solutions, LLC",2103594106,10301295,Dental,1/1/19,42.55,84.44,128.98,77.17,77.17
234281,DKMAGS Inc,2103594195,10339926,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
234285,Grace and Lucille LLC,2103594266,10339252,Dental,1/1/19,37.74,69.96,111.51,69.96,111.51
234470,Rochester Towing LLC,2103676448,10301909,Dental,1/1/19,29.30,54.60,87.14,54.60,87.14
234717,"Olson Gravel, Inc.",2103698274,10302557,Dental,1/1/19,47.24,87.58,139.69,87.58,139.69
234765,"In Touch Physical Therapy, Inc.",2103594247,10339728,Dental,1/1/19,41.34,76.64,122.22,76.64,122.22
234893,LDR Home Care LLC,2103676448,10343451,Dental,1/1/19,25.02,46.53,74.31,46.53,74.31
234966,Grace Holding LLC dba Abra Auto Body & Glass,2103594104,10303232,Dental,1/1/19,50.49,100.22,153.10,91.57,91.57
235156,Reclaim,2103594148,10325517,Dental,1/1/19,38.14,70.78,112.77,70.78,112.77
235179,United Contractors Inc.,2103594247,10303828,Dental,1/1/19,37.38,69.35,110.57,69.35,110.57
235206,"Stone Cottage Construction, Inc.",2103594195,10371416,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
235227,Church of St Joseph of Red Wing Minnesota,2103698340,10303947,Dental,1/1/19,43.04,79.90,127.37,79.90,127.37
235234,Valley Manufacturing LLC.,2103698274,10303967,Dental,1/1/19,47.24,87.58,139.69,87.58,139.69
235339,Connect The Grey LLC,2103594148,10304262,Dental,1/1/19,43.87,81.36,129.64,81.36,129.64
235363,Bryan J Biegler DBA Biegler Farms,2103676448,10304327,Dental,1/1/19,26.01,48.40,77.27,48.40,77.27
235413,Spence Designs LLC DBA Sota Clothing,2103594266,10304463,Dental,1/1/19,39.24,72.76,115.97,72.76,115.97
235416,Intelligent Quality Solutions,2103594195,10304472,Dental,1/1/19,45.97,85.33,136.04,85.33,136.04
235450,Tonkadale Inc DBS Tonkadale Greenhouse,2103594266,10304556,Dental,1/1/19,44.22,81.96,130.72,81.96,130.72
235494,"Ten 7 Interactive, LLC.",2103594195,10337826,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
235522,"Sagvold & Associates, Inc",2103676448,10343895,Dental,1/1/19,25.02,46.53,74.31,46.53,74.31
235564,MyMeds Inc,2103594247,10339496,Dental,1/1/19,41.34,76.64,122.22,76.64,122.22
235651,Davis Law Office PLLC,2103594266,10339064,Dental,1/1/19,37.74,69.96,111.51,69.96,111.51
235721,"Meditech Communications, Inc.",2103594266,10343533,Dental,1/1/19,43.35,80.35,128.15,80.35,128.15
235950,Mueller's Sensory Works LLC,2103676296,10305947,Dental,1/1/19,27.03,50.28,80.34,50.28,80.34
236128,Fransen Inc dba Gluek's Restaurant & Bar,2103594195,10306453,Dental,1/1/19,45.08,83.69,133.42,83.69,133.42
236175,"Lake State, Inc. DBA Turbo Diesel & Electric",2103676448,10306594,Dental,1/1/19,31.32,58.36,93.06,58.36,93.06
236221,"MyMedical Clinic, PLLC",2103594266,10336805,Dental,1/1/19,37.74,69.96,111.51,69.96,111.51
236358,FlagshipSailsRx LLC,2103594247,10307167,Dental,1/1/19,42.99,79.70,127.10,79.70,127.10
236502,Granite Planet & Cabinet Shop Company,2103594247,10307616,Dental,1/1/19,42.99,79.70,127.10,79.70,127.10
236626,Halverson & Blaiser Group,2103684597,10339525,Dental,1/1/19,37.95,73.03,127.62,73.03,127.62
236631,CKU Corporation DBA Alpine Farms,2103676296,10337231,Dental,1/1/19,23.00,42.82,68.48,42.82,68.48
236707,Quality Education Services Of MN Inc dba AARP Experience Corps - Twin Cities,2103676296,10308286,Dental,1/1/19,23.92,44.54,71.21,44.54,71.21
236742,Tristar Power Systems LLC,2103676296,10308407,Dental,1/1/19,27.03,50.28,80.34,50.28,80.34
238677,Prep Network LLC,2103594195,10409177,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
241193,Destiny Homes Inc,2103594195,10331926,Dental,1/1/19,44.20,82.04,130.80,82.04,130.80
241867,"N963U, LLC",2103594195,10335244,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
242040,Thorne's Refrigeration LLC,2103698340,10335985,Dental,1/1/19,42.19,78.33,124.87,78.33,124.87
242386,"Dick's Electric, Inc.",2103676448,10337592,Dental,1/1/19,25.02,46.53,74.31,46.53,74.31
242457,The Gift LLC,2103676448,10337985,Dental,1/1/19,25.02,46.53,74.31,46.53,74.31
242556,Brooks Staples dba Ameriprise Financial,2103594195,10338366,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
242735,Eco Garden Systems,2103594148,10339091,Dental,1/1/19,36.68,68.05,108.44,68.05,108.44
242820,COLLAGEN SOLUTIONS US INC,2103594195,10339448,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
243177,"The Hatch Group, LLC",2103594195,10340552,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
243181,Avant Life LLC,2103594195,10340563,Dental,1/1/19,44.20,82.04,130.80,82.04,130.80
243354,"Curt's Truck & Diesel Service, Inc.",2103594148,10341021,Dental,1/1/19,33.71,62.43,99.53,62.43,99.53
243557,Gappa Oil Company Inc,2103698340,10341603,Dental,1/1/19,38.80,71.87,114.59,71.87,114.59
243676,VZSolutions LLC DBA The Hasty Tasty,2103594148,10341862,Dental,1/1/19,36.68,68.05,108.44,68.05,108.44
243771,Living at Home Network,2103594195,10342141,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
243798,A Family First Insurance Agency LLC,2103594266,10342222,Dental,1/1/19,37.74,69.96,111.51,69.96,111.51
243900,"R&K Electric, Inc",2103676296,10342533,Dental,1/1/19,26.50,49.29,78.76,49.29,78.76
243961,"South Side, Inc. DBA South Side Sand and Gravel",2103594250,10342747,Dental,1/1/19,39.43,73.25,116.71,73.25,116.71
243971,Primary Benefit Services,2103594269,10342765,Dental,1/1/19,41.34,76.74,122.43,76.74,122.43
243976,"Orbeth Inc, C&C Boat Works",2103594269,10342778,Dental,1/1/19,41.34,76.74,122.43,76.74,122.43
243999,"R & K Express, Inc.",2103698340,10342843,Dental,1/1/19,42.19,78.33,124.87,78.33,124.87
244008,Valley Truck Parts and Service Inc.,2103594269,10342868,Dental,1/1/19,37.95,70.49,112.36,70.49,112.36
244142,"M&M Printing Of Owatonna, Inc. DBA  Tri M Graphics",2103594266,10343208,Dental,1/1/19,37.74,69.96,111.51,69.96,111.51
244168,Halstad Municipal Utilities,2103698340,10343264,Dental,1/1/19,42.19,78.33,124.87,78.33,124.87
244183,Woof Central LLC,2103594148,10343301,Dental,1/1/19,36.68,68.05,108.44,68.05,108.44
244187,SKOL Marketing Inc,2103676296,10343319,Dental,1/1/19,23.00,42.82,68.48,42.82,68.48
244202,"DLL Excavating, Inc",2103594250,10343354,Dental,1/1/19,39.43,73.25,116.71,73.25,116.71
244220,Brainerd Lakes Area Chambers of Commerce,2103594269,10343410,Dental,1/1/19,41.34,76.74,122.43,76.74,122.43
244226,Sand's Repair,2103594250,10343424,Dental,1/1/19,39.43,73.25,116.71,73.25,116.71
244228,"Home Improvement Shop, Inc",2103594247,10343425,Dental,1/1/19,41.34,76.64,122.22,76.64,122.22
244235,Initiative Foundation,2129664915,10343455,Dental,1/1/19,37.95,73.99,132.71,73.99,132.71
244249,"Cory Conveyor Concepts, Inc",2103594148,10343505,Dental,1/1/19,36.68,68.05,108.44,68.05,108.44
244277,"AEI, LLC",2103698340,10343613,Dental,1/1/19,42.19,78.33,124.87,78.33,124.87
244314,Aitkin County Abstract Company,2103676448,10343747,Dental,1/1/19,28.73,53.53,85.44,53.53,85.44
244315,M & M Arora Business Group Inc DBA Primrose School of Cottage Grove,2103594148,10343753,Dental,1/1/19,41.39,76.75,122.30,76.75,122.30
244319,"FurnitureDealer.Net, Inc",2103594148,10343763,Dental,1/1/19,38.69,71.76,114.37,71.76,114.37
244324,HAWLEY CO-OP ELEVATOR CO,2103676448,10343783,Dental,1/1/19,25.02,46.53,74.31,46.53,74.31
244325,Isanti Tire and Auto Care Inc,2103594266,10343790,Dental,1/1/19,42.54,78.83,125.74,78.83,125.74
244364,Central Minnesota Electric Inc,2103594250,10343904,Dental,1/1/19,45.37,84.16,134.20,84.16,134.20
244367,Gilman Coop Creamery Association,2103594269,10343914,Dental,1/1/19,41.34,76.74,122.43,76.74,122.43
244380,"JCF BUILDERS, LLC.",2103685737,10343961,Dental,1/1/19,39.75,77.80,141.09,77.80,141.09
244402,Falls Optical,2103594269,10344042,Dental,1/1/19,41.34,76.74,122.43,76.74,122.43
244444,ORIJIN STONE,2103676296,10344237,Dental,1/1/19,23.00,42.82,68.48,42.82,68.48
244461,Lund Manufacturing LLC DBA JB Lund Dock & Lift,2103594250,10344303,Dental,1/1/19,39.43,73.25,116.71,73.25,116.71
244462,Thomas Tool and Supply,2103594250,10344304,Dental,1/1/19,39.43,73.25,116.71,73.25,116.71
244468,Urban Homeworks,2103594148,10344328,Dental,1/1/19,38.69,71.76,114.37,71.76,114.37
244470,Elmdale Creamery Association,2103594250,10344333,Dental,1/1/19,45.37,84.16,134.20,84.16,134.20
244471,Lennes Bros Electric,2103594250,10344346,Dental,1/1/19,39.43,73.25,116.71,73.25,116.71
244502,Quist and Company PC,2103594195,10344479,Dental,1/1/19,38.48,71.34,113.74,71.34,113.74
244530,Midstate Education,2103594250,10344586,Dental,1/1/19,36.25,67.20,107.17,67.20,107.17
244554,Thielen Meats of Little Falls,2103594250,10344756,Dental,1/1/19,39.43,73.25,116.71,73.25,116.71
244626,"Runger's Heating and Air Conditioning, Inc.",2103676448,10345076,Dental,1/1/19,25.02,46.53,74.31,46.53,74.31
244728,Anderson Acquisition dba Frontier Transportation,2103594247,10345373,Dental,1/1/19,35.93,66.67,106.32,66.67,106.32
244732,Energy Investments Inc,2103594269,10345385,Dental,1/1/19,37.95,70.49,112.36,70.49,112.36
255576,"Diversified Utility Sales of America, LLC",2103594148,10400893,Dental,1/1/19,36.85,68.37,108.95,68.37,108.95
