Client Number,client_name,plan_id,group_number,dental,renewal,Rnw_Single,Rnw_TwoParty,Rnw_Family,Rnw_Pchild,Rnw_Pchildren
230678,STRATEGIC IMPORT SUPPLY LLC OPTION 2 OON UCR,,10310205,Dental,11/1/2019,45.9,90.99,138.89,83.12,83.12
230678,STRATEGIC IMPORT SUPPLY LLC OPTION 1 OON MAC,,10289871,Dental,11/1/2019,45.9,90.99,138.89,83.12,83.12
230678,TIRE PARTNERS OF TEXAS LLC OPTION 2 OON UCR 9,,10310206,Dental,11/1/2019,45.9,90.99,138.89,83.12,83.12
230678,TIRE PARTNERS OF TEXAS LLC OPTION 1 OON MAC,,10289872,Dental,11/1/2019,45.9,90.99,138.89,83.12,83.12
230678,DAVID AND LILY PENN INC OPTION 1 OON MAC,,10289873,Dental,11/1/2019,45.9,90.99,138.89,83.12,83.12
230678,DAVID AND LILY PENN INC OPTION 2 OON UCR 90TH,,10310208,Dental,11/1/2019,45.9,90.99,138.89,83.12,83.12
240818,INTERNATIONAL FALLS CHAMBER OF COMMERCE,,10329386,Dental,11/1/2019,26.65,49.55,79.14,49.55,79.14
240850,LAKEROCK ENTERPRISES INC DBA HDPESUPPLY,,10329588,Dental,11/1/2019,26.65,49.55,79.14,49.55,79.14
258594,R C AVIONICS INC,,10431008,Dental,11/1/2019,43.56,80.73,128.76,80.73,128.76
258693,MISTI FARROW DBA EACH ONE TEACH ONE,,10432125,Dental,11/1/2019,38.66,71.67,114.27,71.67,114.27
258748,TACOMA CREEK HOSPITALITY LLC,,10432695,Dental,11/1/2019,44.41,82.43,131.42,82.43,131.42
258749,BOLDER OPTIONS,,10432701,Dental,11/1/2019,38.66,71.67,114.27,71.67,114.27
180031,BACKBONE ENTERPRISES INC,,10433061,Dental,11/1/2019,34.72,64.43,102.77,64.43,102.77
258826,AIR BAG REPAIR INC,,10433252,Dental,11/1/2019,38.66,71.67,114.27,71.67,114.27
258871,PROFITSEE INC,,10433936,Dental,11/1/2019,38.66,71.67,114.27,71.67,114.27
258904,EVENTS BY LADY K GBC,,10435119,Dental,11/1/2019,37.91,70.29,112.04,70.29,112.04
258941,VESTMENT FINANCIAL LLC DBA MD FINANCIAL,,10435448,Dental,11/1/2019,44.41,82.43,131.42,82.43,131.42
259225,FIXFIND INC,,10438465,Dental,11/1/2019,38.66,71.67,114.27,71.67,114.27
231020,TACTACAM,,10440477,Dental,11/1/2019,42.39,78.7,125.46,78.7,125.46
230791,"PEAK FINANCIAL CONSULTING, INC.",,10469692,Dental,11/1/2019,37.91,76.47,121.91,76.47,121.94
