Service Area ID*,Service Area Name*,State*,County Name,Partial County,Service Area Zip Codes
MNS001,AWARE & HIGH VALUE NETWORK,Yes,,,
MNS019,GVN - SERVICE AREA 2,No,Carlton ,No,
MNS019,GVN - SERVICE AREA 2,No,Cook ,No,
MNS019,GVN - SERVICE AREA 2,No,Itasca ,No,
MNS019,GVN - SERVICE AREA 2,No,Koochiching ,No,
MNS019,GVN - SERVICE AREA 2,No,Lake ,No,
MNS019,GVN - SERVICE AREA 2,No,Lake Of The Woods ,No,
MNS019,GVN - SERVICE AREA 2,No,Saint Louis,No,
MNS020,GVN - SERVICE AREA 4,No,Brown ,No,
MNS020,GVN - SERVICE AREA 4,No,Cottonwood ,No,
MNS020,GVN - SERVICE AREA 4,No,Jackson ,No,
MNS020,GVN - SERVICE AREA 4,No,Lincoln ,No,
MNS020,GVN - SERVICE AREA 4,No,Murray ,No,
MNS020,GVN - SERVICE AREA 4,No,Nobles ,No,
MNS020,GVN - SERVICE AREA 4,No,Pipestone ,No,
MNS020,GVN - SERVICE AREA 4,No,Redwood ,No,
MNS020,GVN - SERVICE AREA 4,No,Rock ,No,
MNS021,GVN SERVICE AREA 5,No,Big Stone ,No,
MNS021,GVN SERVICE AREA 5,No,Chippewa ,No,
MNS021,GVN SERVICE AREA 5,No,Kandiyohi ,No,
MNS021,GVN SERVICE AREA 5,No,Lac Qui Parle ,No,
MNS021,GVN SERVICE AREA 5,No,Lyon ,No,
MNS021,GVN SERVICE AREA 5,No,Mcleod ,No,
MNS021,GVN SERVICE AREA 5,No,Meeker ,No,
MNS021,GVN SERVICE AREA 5,No,Renville ,No,
MNS021,GVN SERVICE AREA 5,No,Sibley ,No,
MNS021,GVN SERVICE AREA 5,No,Swift ,No,
MNS021,GVN SERVICE AREA 5,No,Yellow Medicine ,No,
MNS022,GVN Service Area 6,No,Becker ,No,
MNS022,GVN Service Area 6,No,Clay ,No,
MNS022,GVN Service Area 6,No,Douglas ,No,
MNS022,GVN Service Area 6,No,Grant ,No,
MNS022,GVN Service Area 6,No,Otter Tail ,No,
MNS022,GVN Service Area 6,No,Pope ,No,
MNS022,GVN Service Area 6,No,Stevens ,No,
MNS022,GVN Service Area 6,No,Traverse ,No,
MNS022,GVN Service Area 6,No,Wilkin ,No,
MNS023,GVN Service Area 7,No,Aitkin ,No,
MNS023,GVN Service Area 7,No,Beltrami ,No,
MNS023,GVN Service Area 7,No,Cass ,No,
MNS023,GVN Service Area 7,No,Chisago ,No,
MNS023,GVN Service Area 7,No,Crow Wing ,No,
MNS023,GVN Service Area 7,No,Hubbard ,No,
MNS023,GVN Service Area 7,No,Isanti ,No,
MNS023,GVN Service Area 7,No,Kanabec ,No,
MNS023,GVN Service Area 7,No,Mille Lacs ,No,
MNS023,GVN Service Area 7,No,Morrison ,No,
MNS023,GVN Service Area 7,No,Pine ,No,
MNS023,GVN Service Area 7,No,Roseau ,No,
MNS023,GVN Service Area 7,No,Todd ,No,
MNS023,GVN Service Area 7,No,Wadena ,No,
MNS024,GVN Service Area 8,No,Anoka ,No,
MNS024,GVN Service Area 8,No,Benton ,No,
MNS024,GVN Service Area 8,No,Carver ,No,
MNS024,GVN Service Area 8,No,Dakota ,No,
MNS024,GVN Service Area 8,No,Hennepin ,No,
MNS024,GVN Service Area 8,No,Ramsey ,No,
MNS024,GVN Service Area 8,No,Scott ,No,
MNS024,GVN Service Area 8,No,Sherburne ,No,
MNS024,GVN Service Area 8,No,Stearns ,No,
MNS024,GVN Service Area 8,No,Washington ,No,
MNS024,GVN Service Area 8,No,Wright ,No,
MNS025,GVN Service Area 9,No,Clearwater ,No,
MNS025,GVN Service Area 9,No,Kittson ,No,
MNS025,GVN Service Area 9,No,Mahnomen ,No,
MNS025,GVN Service Area 9,No,Marshall ,No,
MNS025,GVN Service Area 9,No,Norman ,No,
MNS025,GVN Service Area 9,No,Pennington ,No,
MNS025,GVN Service Area 9,No,Polk ,No,
MNS025,GVN Service Area 9,No,Red Lake ,No,
MNS026,GVN Service Area 1,No,Dodge ,No,
MNS026,GVN Service Area 1,No,Fillmore ,No,
MNS026,GVN Service Area 1,No,Freeborn ,No,
MNS026,GVN Service Area 1,No,Goodhue ,No,
MNS026,GVN Service Area 1,No,Houston ,No,
MNS026,GVN Service Area 1,No,Mower ,No,
MNS026,GVN Service Area 1,No,Olmsted ,No,
MNS026,GVN Service Area 1,No,Steele ,No,
MNS026,GVN Service Area 1,No,Wabasha ,No,
MNS026,GVN Service Area 1,No,Winona ,No,
MNS028,GVN Service Area 3,No,Blue Earth ,No,
MNS028,GVN Service Area 3,No,Faribault ,No,
MNS028,GVN Service Area 3,No,Le Sueur ,No,
MNS028,GVN Service Area 3,No,Martin ,No,
MNS028,GVN Service Area 3,No,Nicollet ,No,
MNS028,GVN Service Area 3,No,Rice ,No,
MNS028,GVN Service Area 3,No,Waseca ,No,
MNS028,GVN Service Area 3,No,Watonwan ,No,
