Rating Area ID*,Tobacco*,Age*,Individual Rate*,,Tobacco Rate*
57129MN0220001,Rating Area 1,No Preference,0-14,271.49,
57129MN0220001,Rating Area 1,No Preference,15,271.49,
57129MN0220001,Rating Area 1,No Preference,16,271.49,
57129MN0220001,Rating Area 1,No Preference,17,271.49,
57129MN0220001,Rating Area 1,No Preference,18,271.49,
57129MN0220001,Rating Area 1,No Preference,19,271.49,
57129MN0220001,Rating Area 1,No Preference,20,271.49,
57129MN0220001,Rating Area 1,No Preference,21,305.05,
57129MN0220001,Rating Area 1,No Preference,22,305.05,
57129MN0220001,Rating Area 1,No Preference,23,305.05,
57129MN0220001,Rating Area 1,No Preference,24,305.05,
57129MN0220001,Rating Area 1,No Preference,25,306.27,
57129MN0220001,Rating Area 1,No Preference,26,312.37,
57129MN0220001,Rating Area 1,No Preference,27,319.69,
57129MN0220001,Rating Area 1,No Preference,28,331.59,
57129MN0220001,Rating Area 1,No Preference,29,341.35,
57129MN0220001,Rating Area 1,No Preference,30,346.23,
57129MN0220001,Rating Area 1,No Preference,31,353.55,
57129MN0220001,Rating Area 1,No Preference,32,360.87,
57129MN0220001,Rating Area 1,No Preference,33,365.45,
57129MN0220001,Rating Area 1,No Preference,34,370.33,
57129MN0220001,Rating Area 1,No Preference,35,372.77,
57129MN0220001,Rating Area 1,No Preference,36,375.21,
57129MN0220001,Rating Area 1,No Preference,37,377.65,
57129MN0220001,Rating Area 1,No Preference,38,380.09,
57129MN0220001,Rating Area 1,No Preference,39,384.97,
57129MN0220001,Rating Area 1,No Preference,40,389.85,
57129MN0220001,Rating Area 1,No Preference,41,397.17,
57129MN0220001,Rating Area 1,No Preference,42,404.19,
57129MN0220001,Rating Area 1,No Preference,43,413.95,
57129MN0220001,Rating Area 1,No Preference,44,426.15,
57129MN0220001,Rating Area 1,No Preference,45,440.49,
57129MN0220001,Rating Area 1,No Preference,46,457.57,
57129MN0220001,Rating Area 1,No Preference,47,476.79,
57129MN0220001,Rating Area 1,No Preference,48,498.75,
57129MN0220001,Rating Area 1,No Preference,49,520.41,
57129MN0220001,Rating Area 1,No Preference,50,544.82,
57129MN0220001,Rating Area 1,No Preference,51,568.91,
57129MN0220001,Rating Area 1,No Preference,52,595.45,
57129MN0220001,Rating Area 1,No Preference,53,622.3,
57129MN0220001,Rating Area 1,No Preference,54,651.28,
57129MN0220001,Rating Area 1,No Preference,55,680.26,
57129MN0220001,Rating Area 1,No Preference,56,711.68,
57129MN0220001,Rating Area 1,No Preference,57,743.4,
57129MN0220001,Rating Area 1,No Preference,58,777.26,
57129MN0220001,Rating Area 1,No Preference,59,794.04,
57129MN0220001,Rating Area 1,No Preference,60,827.9,
57129MN0220001,Rating Area 1,No Preference,61,857.18,
57129MN0220001,Rating Area 1,No Preference,62,876.4,
57129MN0220001,Rating Area 1,No Preference,63,900.5,
57129MN0220001,Rating Area 1,No Preference,64 and over,915.15,
57129MN0220001,Rating Area 2,No Preference,0-14,253.54,
57129MN0220001,Rating Area 2,No Preference,15,253.54,
57129MN0220001,Rating Area 2,No Preference,16,253.54,
57129MN0220001,Rating Area 2,No Preference,17,253.54,
57129MN0220001,Rating Area 2,No Preference,18,253.54,
57129MN0220001,Rating Area 2,No Preference,19,253.54,
57129MN0220001,Rating Area 2,No Preference,20,253.54,
57129MN0220001,Rating Area 2,No Preference,21,284.88,
57129MN0220001,Rating Area 2,No Preference,22,284.88,
57129MN0220001,Rating Area 2,No Preference,23,284.88,
57129MN0220001,Rating Area 2,No Preference,24,284.88,
57129MN0220001,Rating Area 2,No Preference,25,286.02,
57129MN0220001,Rating Area 2,No Preference,26,291.72,
57129MN0220001,Rating Area 2,No Preference,27,298.56,
57129MN0220001,Rating Area 2,No Preference,28,309.67,
57129MN0220001,Rating Area 2,No Preference,29,318.78,
57129MN0220001,Rating Area 2,No Preference,30,323.34,
57129MN0220001,Rating Area 2,No Preference,31,330.18,
57129MN0220001,Rating Area 2,No Preference,32,337.01,
57129MN0220001,Rating Area 2,No Preference,33,341.29,
57129MN0220001,Rating Area 2,No Preference,34,345.85,
57129MN0220001,Rating Area 2,No Preference,35,348.13,
57129MN0220001,Rating Area 2,No Preference,36,350.4,
57129MN0220001,Rating Area 2,No Preference,37,352.68,
57129MN0220001,Rating Area 2,No Preference,38,354.96,
57129MN0220001,Rating Area 2,No Preference,39,359.52,
57129MN0220001,Rating Area 2,No Preference,40,364.08,
57129MN0220001,Rating Area 2,No Preference,41,370.92,
57129MN0220001,Rating Area 2,No Preference,42,377.47,
57129MN0220001,Rating Area 2,No Preference,43,386.58,
57129MN0220001,Rating Area 2,No Preference,44,397.98,
57129MN0220001,Rating Area 2,No Preference,45,411.37,
57129MN0220001,Rating Area 2,No Preference,46,427.32,
57129MN0220001,Rating Area 2,No Preference,47,445.27,
57129MN0220001,Rating Area 2,No Preference,48,465.78,
